"","CpG","Beta","SE","P","FDR","Trait","threshold"
"2967","cg10874644",0.0197,0.003,5.2e-11,2.6e-08,"smoking","P1E5"
"2968","cg24718197",-0.0073,0.0011,5.2e-11,2.6e-08,"smoking","P1E5"
"2969","cg15393221",0.0139,0.0021,5.3e-11,2.7e-08,"smoking","P1E5"
"2970","cg15903032",-0.013,0.002,5.3e-11,2.7e-08,"smoking","P1E5"
"2971","cg01561259",0.0101,0.0015,5.4e-11,2.7e-08,"smoking","P1E5"
"2972","cg18151030",-0.012,0.0018,5.5e-11,2.8e-08,"smoking","P1E5"
"2973","cg25318189",0.0059,9e-04,5.6e-11,2.8e-08,"smoking","P1E5"
"2974","cg19427338",0.0133,0.002,5.7e-11,2.8e-08,"smoking","P1E5"
"2975","cg23204396",-0.0095,0.0015,5.8e-11,2.9e-08,"smoking","P1E5"
"2976","cg26657675",-0.0088,0.0013,5.8e-11,2.9e-08,"smoking","P1E5"
"2977","cg17927313",0.0043,7e-04,5.8e-11,2.9e-08,"smoking","P1E5"
"2978","cg16448702",0.0063,0.001,5.8e-11,2.9e-08,"smoking","P1E5"
"2979","cg21929761",-0.0077,0.0012,5.9e-11,2.9e-08,"smoking","P1E5"
"2980","cg09325711",-0.007,0.0011,6.1e-11,3e-08,"smoking","P1E5"
"2981","cg27423838",-0.0074,0.0011,6.1e-11,3e-08,"smoking","P1E5"
"2982","cg18649028",0.0058,9e-04,6.1e-11,3e-08,"smoking","P1E5"
"2983","cg13221074",-0.0038,6e-04,6.2e-11,3e-08,"smoking","P1E5"
"2984","cg09448652",-0.007,0.0011,6.2e-11,3e-08,"smoking","P1E5"
"2985","cg16736826",-0.0084,0.0013,6.2e-11,3e-08,"smoking","P1E5"
"2986","cg16983541",-0.0054,8e-04,6.3e-11,3.1e-08,"smoking","P1E5"
"2987","cg06885459",0.0159,0.0024,6.3e-11,3.1e-08,"smoking","P1E5"
"2988","cg07702888",0.0054,8e-04,6.4e-11,3.1e-08,"smoking","P1E5"
"2989","cg24518098",-0.0127,0.0019,6.4e-11,3.1e-08,"smoking","P1E5"
"2990","cg05599106",0.0049,8e-04,6.4e-11,3.1e-08,"smoking","P1E5"
"2991","cg17325771",-0.0071,0.0011,6.5e-11,3.2e-08,"smoking","P1E5"
"2992","cg13247990",0.0056,9e-04,6.5e-11,3.2e-08,"smoking","P1E5"
"2993","cg17567838",-0.0123,0.0019,6.6e-11,3.2e-08,"smoking","P1E5"
"2994","cg08604596",-0.0055,8e-04,6.7e-11,3.3e-08,"smoking","P1E5"
"2995","cg14239618",0.0042,6e-04,6.9e-11,3.3e-08,"smoking","P1E5"
"2996","cg10768063",0.0117,0.0018,7e-11,3.4e-08,"smoking","P1E5"
"2997","cg19601144",0.0039,6e-04,7.2e-11,3.5e-08,"smoking","P1E5"
"2998","cg24230340",-0.0149,0.0023,7.3e-11,3.6e-08,"smoking","P1E5"
"2999","cg25385733",0.0039,6e-04,7.5e-11,3.6e-08,"smoking","P1E5"
"3000","cg12856965",-0.0151,0.0023,7.5e-11,3.6e-08,"smoking","P1E5"
"3001","cg03451670",0.0095,0.0015,7.5e-11,3.6e-08,"smoking","P1E5"
"3002","cg04332373",0.0115,0.0018,7.6e-11,3.7e-08,"smoking","P1E5"
"3003","cg13914531",-0.0054,8e-04,7.6e-11,3.7e-08,"smoking","P1E5"
"3004","cg05668853",-0.0127,0.0019,7.7e-11,3.7e-08,"smoking","P1E5"
"3005","cg07886712",-0.0045,7e-04,7.7e-11,3.7e-08,"smoking","P1E5"
"3006","cg19035792",0.0057,9e-04,7.9e-11,3.8e-08,"smoking","P1E5"
"3007","cg26803969",-0.0038,6e-04,8.1e-11,3.9e-08,"smoking","P1E5"
"3008","cg10672416",-0.0083,0.0013,8.2e-11,3.9e-08,"smoking","P1E5"
"3009","cg01952185",0.015,0.0023,8.3e-11,4e-08,"smoking","P1E5"
"3010","cg23401251",0.0118,0.0018,8.4e-11,4e-08,"smoking","P1E5"
"3011","cg17498867",-0.0054,8e-04,8.5e-11,4e-08,"smoking","P1E5"
"3012","cg18503679",-0.0146,0.0023,8.6e-11,4.1e-08,"smoking","P1E5"
"3013","cg26105649",-0.0052,8e-04,8.8e-11,4.1e-08,"smoking","P1E5"
"3014","cg17781958",0.0076,0.0012,9.1e-11,4.3e-08,"smoking","P1E5"
"3015","cg25341560",-0.0108,0.0017,9.1e-11,4.3e-08,"smoking","P1E5"
"3016","cg11386011",-0.0072,0.0011,9.2e-11,4.4e-08,"smoking","P1E5"
"3017","cg11014740",-0.0095,0.0015,9.4e-11,4.4e-08,"smoking","P1E5"
"3018","cg07516196",0.0109,0.0017,9.8e-11,4.6e-08,"smoking","P1E5"
"3019","cg11674448",0.0094,0.0014,9.8e-11,4.6e-08,"smoking","P1E5"
"3020","cg15013801",-0.0095,0.0015,1e-10,4.8e-08,"smoking","P1E5"
"3021","cg12364755",-0.0068,0.0011,1e-10,4.8e-08,"smoking","P1E5"
"3022","cg18617091",0.0098,0.0015,1e-10,4.8e-08,"smoking","P1E5"
"3023","cg21159068",0.0062,0.001,1e-10,4.8e-08,"smoking","P1E5"
"3024","cg04189326",0.0058,9e-04,1e-10,4.9e-08,"smoking","P1E5"
"3025","cg24771152",0.0068,0.001,1.1e-10,4.9e-08,"smoking","P1E5"
"3026","cg10493185",0.0041,6e-04,1.1e-10,4.9e-08,"smoking","P1E5"
"3027","cg20149625",-0.0042,6e-04,1.1e-10,4.9e-08,"smoking","P1E5"
"3028","cg24426691",-0.0059,9e-04,1.1e-10,5e-08,"smoking","P1E5"
"3029","cg23448998",0.0072,0.0011,1.1e-10,5e-08,"smoking","P1E5"
"3030","cg13976502",-0.0143,0.0022,1.1e-10,5e-08,"smoking","P1E5"
"3031","cg22582113",-0.0027,4e-04,1.1e-10,5e-08,"smoking","P1E5"
"3032","cg22957360",-0.0071,0.0011,1.1e-10,5.1e-08,"smoking","P1E5"
"3033","cg18961281",0.0043,7e-04,1.1e-10,5.1e-08,"smoking","P1E5"
"3034","cg25376310",-0.0063,0.001,1.1e-10,5.1e-08,"smoking","P1E5"
"3035","cg26908328",-0.0087,0.0014,1.1e-10,5.2e-08,"smoking","P1E5"
"3036","cg06800849",-0.006,9e-04,1.1e-10,5.2e-08,"smoking","P1E5"
"3037","cg00122944",-0.0036,6e-04,1.1e-10,5.2e-08,"smoking","P1E5"
"3038","cg25629790",0.005,8e-04,1.1e-10,5.2e-08,"smoking","P1E5"
"3039","cg27252776",-0.0116,0.0018,1.1e-10,5.2e-08,"smoking","P1E5"
"3040","cg24128066",-0.0073,0.0011,1.2e-10,5.3e-08,"smoking","P1E5"
"3041","cg01499816",-0.0033,5e-04,1.2e-10,5.3e-08,"smoking","P1E5"
"3042","cg10785537",0.0066,0.001,1.2e-10,5.3e-08,"smoking","P1E5"
"3043","cg13708645",-0.0139,0.0022,1.2e-10,5.4e-08,"smoking","P1E5"
"3044","cg00741986",-0.016,0.0025,1.2e-10,5.4e-08,"smoking","P1E5"
"3045","cg20146909",-0.0105,0.0016,1.2e-10,5.5e-08,"smoking","P1E5"
"3046","cg02375409",0.0105,0.0016,1.2e-10,5.5e-08,"smoking","P1E5"
"3047","cg10130088",0.0055,9e-04,1.2e-10,5.5e-08,"smoking","P1E5"
"3048","cg12593793",-0.0107,0.0017,1.2e-10,5.5e-08,"smoking","P1E5"
"3049","cg21121843",-0.0242,0.0038,1.2e-10,5.5e-08,"smoking","P1E5"
"3050","cg17082568",0.0104,0.0016,1.2e-10,5.6e-08,"smoking","P1E5"
"3051","cg11826961",-0.0105,0.0016,1.2e-10,5.6e-08,"smoking","P1E5"
"3052","cg06439889",0.005,8e-04,1.3e-10,5.8e-08,"smoking","P1E5"
"3053","cg17936236",-0.0083,0.0013,1.3e-10,5.9e-08,"smoking","P1E5"
"3054","cg24539517",-0.0098,0.0015,1.3e-10,5.9e-08,"smoking","P1E5"
"3055","cg14316231",-0.0169,0.0026,1.3e-10,5.9e-08,"smoking","P1E5"
"3056","cg07764473",0.0171,0.0027,1.3e-10,5.9e-08,"smoking","P1E5"
"3057","cg10010533",-0.0069,0.0011,1.3e-10,5.9e-08,"smoking","P1E5"
"3058","cg13594903",-0.0094,0.0015,1.4e-10,6.1e-08,"smoking","P1E5"
"3059","cg08267489",0.0024,4e-04,1.4e-10,6.2e-08,"smoking","P1E5"
"3060","cg13001289",-0.0044,7e-04,1.4e-10,6.2e-08,"smoking","P1E5"
"3061","cg23635560",-0.0099,0.0015,1.4e-10,6.2e-08,"smoking","P1E5"
"3062","cg26467528",-0.0118,0.0018,1.4e-10,6.2e-08,"smoking","P1E5"
"3063","cg15122985",-0.0068,0.0011,1.4e-10,6.2e-08,"smoking","P1E5"
"3064","cg07027613",-0.0079,0.0012,1.4e-10,6.3e-08,"smoking","P1E5"
"3065","cg15138339",-0.0075,0.0012,1.4e-10,6.3e-08,"smoking","P1E5"
"3066","cg17174275",-0.0053,8e-04,1.4e-10,6.4e-08,"smoking","P1E5"
"3067","cg21647257",0.0085,0.0013,1.4e-10,6.4e-08,"smoking","P1E5"
"3068","cg04337534",0.0051,8e-04,1.4e-10,6.4e-08,"smoking","P1E5"
"3069","cg09202659",-0.0064,0.001,1.5e-10,6.6e-08,"smoking","P1E5"
"3070","cg15787744",-0.008,0.0012,1.5e-10,6.6e-08,"smoking","P1E5"
"3071","cg06130714",0.0031,5e-04,1.5e-10,6.6e-08,"smoking","P1E5"
"3072","cg21393124",-0.0056,9e-04,1.5e-10,6.6e-08,"smoking","P1E5"
"3073","cg02740606",-0.0084,0.0013,1.5e-10,6.7e-08,"smoking","P1E5"
"3074","cg22950598",-0.0126,0.002,1.5e-10,6.7e-08,"smoking","P1E5"
"3075","cg18482892",-0.0105,0.0016,1.5e-10,6.7e-08,"smoking","P1E5"
"3076","cg04816394",0.0066,0.001,1.5e-10,6.7e-08,"smoking","P1E5"
"3077","cg18325841",0.0062,0.001,1.5e-10,6.7e-08,"smoking","P1E5"
"3078","cg17461214",0.0044,7e-04,1.5e-10,6.7e-08,"smoking","P1E5"
"3079","cg00583733",-0.0053,8e-04,1.5e-10,6.8e-08,"smoking","P1E5"
"3080","cg10843276",0.0144,0.0022,1.5e-10,6.8e-08,"smoking","P1E5"
"3081","cg11844970",-0.0054,8e-04,1.6e-10,6.9e-08,"smoking","P1E5"
"3082","cg18954479",0.0149,0.0023,1.6e-10,6.9e-08,"smoking","P1E5"
"3083","cg07520810",-0.0099,0.0015,1.6e-10,6.9e-08,"smoking","P1E5"
"3084","cg07308381",-0.0075,0.0012,1.6e-10,6.9e-08,"smoking","P1E5"
"3085","cg07819944",0.0054,8e-04,1.6e-10,7e-08,"smoking","P1E5"
"3086","cg07742396",-0.0138,0.0022,1.6e-10,7.1e-08,"smoking","P1E5"
"3087","cg16029875",0.0131,0.0021,1.6e-10,7.2e-08,"smoking","P1E5"
"3088","cg13758913",0.0059,9e-04,1.7e-10,7.3e-08,"smoking","P1E5"
"3089","cg23541422",-0.0065,0.001,1.7e-10,7.3e-08,"smoking","P1E5"
"3090","cg20366831",-0.0055,9e-04,1.7e-10,7.3e-08,"smoking","P1E5"
"3091","cg10750959",0.0067,0.001,1.7e-10,7.4e-08,"smoking","P1E5"
"3092","cg14989226",-0.0085,0.0013,1.8e-10,7.7e-08,"smoking","P1E5"
"3093","cg16646054",-0.0119,0.0019,1.8e-10,7.8e-08,"smoking","P1E5"
"3094","cg10696445",0.0046,7e-04,1.8e-10,7.8e-08,"smoking","P1E5"
"3095","cg01487468",-0.0089,0.0014,1.8e-10,7.8e-08,"smoking","P1E5"
"3096","cg13935577",-0.0088,0.0014,1.8e-10,7.9e-08,"smoking","P1E5"
"3097","cg16983588",0.0197,0.0031,1.8e-10,7.9e-08,"smoking","P1E5"
"3098","cg24257309",0.0085,0.0013,1.9e-10,8e-08,"smoking","P1E5"
"3099","cg17333973",-0.0045,7e-04,1.9e-10,8e-08,"smoking","P1E5"
"3100","cg13452162",-0.0077,0.0012,1.9e-10,8.2e-08,"smoking","P1E5"
"3101","cg17884674",0.008,0.0013,1.9e-10,8.2e-08,"smoking","P1E5"
"3102","cg06670463",-0.0083,0.0013,1.9e-10,8.3e-08,"smoking","P1E5"
"3103","cg24930218",-0.0054,9e-04,1.9e-10,8.3e-08,"smoking","P1E5"
"3104","cg12699156",-0.007,0.0011,2e-10,8.4e-08,"smoking","P1E5"
"3105","cg01185345",-0.0082,0.0013,2e-10,8.4e-08,"smoking","P1E5"
"3106","cg14194983",0.0097,0.0015,2e-10,8.5e-08,"smoking","P1E5"
"3107","cg11229399",0.0107,0.0017,2e-10,8.5e-08,"smoking","P1E5"
"3108","cg24869815",0.0049,8e-04,2e-10,8.6e-08,"smoking","P1E5"
"3109","cg15626881",0.0058,9e-04,2e-10,8.7e-08,"smoking","P1E5"
"3110","cg25611057",-0.007,0.0011,2.1e-10,8.7e-08,"smoking","P1E5"
"3111","cg03583050",0.0064,0.001,2.1e-10,8.9e-08,"smoking","P1E5"
"3112","cg11145461",-0.0105,0.0016,2.1e-10,8.9e-08,"smoking","P1E5"
"3113","cg17473673",0.0055,9e-04,2.1e-10,9.1e-08,"smoking","P1E5"
"3114","cg17397607",-0.0126,0.002,2.2e-10,9.2e-08,"smoking","P1E5"
"3115","cg01453052",-0.0109,0.0017,2.2e-10,9.3e-08,"smoking","P1E5"
"3116","cg01979157",-0.0081,0.0013,2.2e-10,9.3e-08,"smoking","P1E5"
"3117","cg10508317",-0.0086,0.0014,2.3e-10,9.5e-08,"smoking","P1E5"
"3118","cg20289911",-0.0047,7e-04,2.3e-10,9.7e-08,"smoking","P1E5"
"3119","cg09084200",-0.0114,0.0018,2.3e-10,9.8e-08,"smoking","P1E5"
"3120","cg07058086",0.0047,7e-04,2.3e-10,9.8e-08,"smoking","P1E5"
"3121","cg27312979",0.032,0.0051,2.4e-10,1e-07,"smoking","P1E5"
"3122","cg06151964",0.0083,0.0013,2.4e-10,1e-07,"smoking","P1E5"
"3123","cg20049273",0.0058,9e-04,2.4e-10,1e-07,"smoking","P1E5"
"3124","cg15482893",0.0122,0.0019,2.4e-10,1e-07,"smoking","P1E5"
"3125","cg02917867",-0.0103,0.0016,2.4e-10,1e-07,"smoking","P1E5"
"3126","cg21788755",-0.0057,9e-04,2.5e-10,1e-07,"smoking","P1E5"
"3127","cg03681335",0.0079,0.0013,2.5e-10,1e-07,"smoking","P1E5"
"3128","cg08810238",-0.0074,0.0012,2.5e-10,1e-07,"smoking","P1E5"
"3129","cg04117801",-0.0051,8e-04,2.5e-10,1e-07,"smoking","P1E5"
"3130","cg19426731",-0.0066,0.001,2.5e-10,1e-07,"smoking","P1E5"
"3131","cg22027399",0.0062,0.001,2.5e-10,1e-07,"smoking","P1E5"
"3132","cg10965178",-0.0108,0.0017,2.5e-10,1e-07,"smoking","P1E5"
"3133","cg01919377",-0.0053,8e-04,2.5e-10,1.1e-07,"smoking","P1E5"
"3134","cg20889322",-0.0136,0.0022,2.6e-10,1.1e-07,"smoking","P1E5"
"3135","cg04095045",0.0037,6e-04,2.6e-10,1.1e-07,"smoking","P1E5"
"3136","cg24271203",-0.0057,9e-04,2.6e-10,1.1e-07,"smoking","P1E5"
"3137","cg12147622",-0.0231,0.0037,2.7e-10,1.1e-07,"smoking","P1E5"
"3138","cg06604199",-0.0086,0.0014,2.7e-10,1.1e-07,"smoking","P1E5"
"3139","cg13672514",-0.0075,0.0012,2.7e-10,1.1e-07,"smoking","P1E5"
"3140","cg02161701",0.0078,0.0012,2.8e-10,1.1e-07,"smoking","P1E5"
"3141","cg22601421",0.0031,5e-04,2.8e-10,1.1e-07,"smoking","P1E5"
"3142","cg08397758",0.0065,0.001,2.8e-10,1.2e-07,"smoking","P1E5"
"3143","cg15012027",-0.0115,0.0018,2.8e-10,1.2e-07,"smoking","P1E5"
"3144","cg13582060",-0.0194,0.0031,2.9e-10,1.2e-07,"smoking","P1E5"
"3145","cg00665106",0.0071,0.0011,2.9e-10,1.2e-07,"smoking","P1E5"
"3146","cg09039672",0.0067,0.0011,3e-10,1.2e-07,"smoking","P1E5"
"3147","cg18777299",-0.0088,0.0014,3e-10,1.2e-07,"smoking","P1E5"
"3148","cg22377043",0.006,9e-04,3e-10,1.2e-07,"smoking","P1E5"
"3149","cg10959726",-0.0061,0.001,3.1e-10,1.2e-07,"smoking","P1E5"
"3150","cg09006159",0.0057,9e-04,3.1e-10,1.3e-07,"smoking","P1E5"
"3151","cg08640824",-0.0103,0.0016,3.1e-10,1.3e-07,"smoking","P1E5"
"3152","cg23565821",-0.0149,0.0024,3.2e-10,1.3e-07,"smoking","P1E5"
"3153","cg09265392",-0.0088,0.0014,3.2e-10,1.3e-07,"smoking","P1E5"
"3154","cg00867472",0.0082,0.0013,3.3e-10,1.3e-07,"smoking","P1E5"
"3155","cg25284397",0.0106,0.0017,3.3e-10,1.3e-07,"smoking","P1E5"
"3156","cg06264663",0.0059,9e-04,3.3e-10,1.3e-07,"smoking","P1E5"
"3157","cg26364091",-0.0097,0.0015,3.4e-10,1.4e-07,"smoking","P1E5"
"3158","cg08900404",-0.0131,0.0021,3.4e-10,1.4e-07,"smoking","P1E5"
"3159","cg01860774",-0.0068,0.0011,3.4e-10,1.4e-07,"smoking","P1E5"
"3160","cg07151117",-0.0085,0.0014,3.4e-10,1.4e-07,"smoking","P1E5"
"3161","cg24503881",-0.0047,7e-04,3.4e-10,1.4e-07,"smoking","P1E5"
"3162","cg14391923",-0.0237,0.0038,3.4e-10,1.4e-07,"smoking","P1E5"
"3163","cg15963913",0.0089,0.0014,3.5e-10,1.4e-07,"smoking","P1E5"
"3164","cg24033122",-0.0163,0.0026,3.5e-10,1.4e-07,"smoking","P1E5"
"3165","cg01481251",-0.0159,0.0025,3.5e-10,1.4e-07,"smoking","P1E5"
"3166","cg16936060",0.0165,0.0026,3.5e-10,1.4e-07,"smoking","P1E5"
"3167","cg00756943",-0.0132,0.0021,3.6e-10,1.4e-07,"smoking","P1E5"
"3168","cg16011250",0.0087,0.0014,3.6e-10,1.4e-07,"smoking","P1E5"
"3169","cg06672753",0.0042,7e-04,3.6e-10,1.4e-07,"smoking","P1E5"
"3170","cg26963277",-0.0241,0.0038,3.6e-10,1.4e-07,"smoking","P1E5"
"3171","cg11679455",-0.006,9e-04,3.7e-10,1.5e-07,"smoking","P1E5"
"3172","cg14295611",0.0075,0.0012,3.7e-10,1.5e-07,"smoking","P1E5"
"3173","cg13487983",0.0049,8e-04,3.8e-10,1.5e-07,"smoking","P1E5"
"3174","cg07202214",-0.0138,0.0022,3.8e-10,1.5e-07,"smoking","P1E5"
"3175","cg23762517",0.0312,0.005,3.8e-10,1.5e-07,"smoking","P1E5"
"3176","cg24296397",0.0089,0.0014,3.9e-10,1.5e-07,"smoking","P1E5"
"3177","cg03090969",-0.0087,0.0014,3.9e-10,1.5e-07,"smoking","P1E5"
"3178","cg04770751",-0.0184,0.0029,3.9e-10,1.5e-07,"smoking","P1E5"
"3179","cg00024404",-0.009,0.0014,3.9e-10,1.5e-07,"smoking","P1E5"
"3180","cg00931843",0.0199,0.0032,3.9e-10,1.5e-07,"smoking","P1E5"
"3181","cg21913886",-0.015,0.0024,3.9e-10,1.5e-07,"smoking","P1E5"
"3182","cg03044513",0.0064,0.001,4e-10,1.6e-07,"smoking","P1E5"
"3183","cg10180092",-0.0155,0.0025,4e-10,1.6e-07,"smoking","P1E5"
"3184","cg11572675",0.0055,9e-04,4e-10,1.6e-07,"smoking","P1E5"
"3185","cg18914023",0.0023,4e-04,4e-10,1.6e-07,"smoking","P1E5"
"3186","cg23046844",0.0037,6e-04,4e-10,1.6e-07,"smoking","P1E5"
"3187","cg09749364",-0.006,0.001,4e-10,1.6e-07,"smoking","P1E5"
"3188","cg15531369",-0.0063,0.001,4.1e-10,1.6e-07,"smoking","P1E5"
"3189","cg10970328",-0.007,0.0011,4.1e-10,1.6e-07,"smoking","P1E5"
"3190","cg06857018",0.0025,4e-04,4.1e-10,1.6e-07,"smoking","P1E5"
"3191","cg02286506",0.004,6e-04,4.1e-10,1.6e-07,"smoking","P1E5"
"3192","cg08479476",-0.0158,0.0025,4.1e-10,1.6e-07,"smoking","P1E5"
"3193","cg00007076",-0.0153,0.0024,4.2e-10,1.6e-07,"smoking","P1E5"
"3194","cg13142374",0.0046,7e-04,4.2e-10,1.6e-07,"smoking","P1E5"
"3195","cg01936839",-0.0096,0.0015,4.2e-10,1.6e-07,"smoking","P1E5"
"3196","cg07421287",-0.0115,0.0018,4.2e-10,1.6e-07,"smoking","P1E5"
"3197","cg10581837",0.0149,0.0024,4.3e-10,1.7e-07,"smoking","P1E5"
"3198","cg23003085",-0.0077,0.0012,4.3e-10,1.7e-07,"smoking","P1E5"
"3199","cg13024368",0.0041,7e-04,4.3e-10,1.7e-07,"smoking","P1E5"
"3200","cg16649298",0.014,0.0022,4.4e-10,1.7e-07,"smoking","P1E5"
"3201","cg03916421",-0.0103,0.0017,4.5e-10,1.7e-07,"smoking","P1E5"
"3202","cg16276850",0.0106,0.0017,4.5e-10,1.7e-07,"smoking","P1E5"
"3203","cg12649208",0.0043,7e-04,4.6e-10,1.8e-07,"smoking","P1E5"
"3204","cg05784862",-0.0093,0.0015,4.6e-10,1.8e-07,"smoking","P1E5"
"3205","cg19802390",0.0109,0.0017,4.6e-10,1.8e-07,"smoking","P1E5"
"3206","cg05914034",-0.0127,0.002,4.6e-10,1.8e-07,"smoking","P1E5"
"3207","cg21350153",0.0072,0.0012,4.6e-10,1.8e-07,"smoking","P1E5"
"3208","cg00423486",0.0055,9e-04,4.6e-10,1.8e-07,"smoking","P1E5"
"3209","cg00893603",-0.0245,0.0039,4.7e-10,1.8e-07,"smoking","P1E5"
"3210","cg16744741",0.0124,0.002,4.7e-10,1.8e-07,"smoking","P1E5"
"3211","cg02097120",-0.0071,0.0011,4.7e-10,1.8e-07,"smoking","P1E5"
"3212","cg06663317",-0.0059,0.001,4.7e-10,1.8e-07,"smoking","P1E5"
"3213","cg18419271",0.0091,0.0015,4.7e-10,1.8e-07,"smoking","P1E5"
"3214","cg20714487",0.0033,5e-04,4.7e-10,1.8e-07,"smoking","P1E5"
"3215","cg03109660",-0.0119,0.0019,4.8e-10,1.8e-07,"smoking","P1E5"
"3216","cg11327659",0.0091,0.0015,4.8e-10,1.8e-07,"smoking","P1E5"
"3217","cg14701962",0.0069,0.0011,4.8e-10,1.8e-07,"smoking","P1E5"
"3218","cg05222924",0.0066,0.0011,4.9e-10,1.8e-07,"smoking","P1E5"
"3219","cg18810691",-0.0066,0.0011,4.9e-10,1.9e-07,"smoking","P1E5"
"3220","cg03224013",-0.0128,0.0021,5e-10,1.9e-07,"smoking","P1E5"
"3221","cg24495528",-0.0069,0.0011,5e-10,1.9e-07,"smoking","P1E5"
"3222","cg13525276",0.023,0.0037,5.4e-10,2e-07,"smoking","P1E5"
"3223","cg15108490",0.0037,6e-04,5.4e-10,2e-07,"smoking","P1E5"
"3224","cg14852355",0.0061,0.001,5.5e-10,2e-07,"smoking","P1E5"
"3225","cg27000944",-0.0084,0.0013,5.5e-10,2.1e-07,"smoking","P1E5"
"3226","cg01651915",-0.0248,0.004,5.5e-10,2.1e-07,"smoking","P1E5"
"3227","cg16937168",-0.0107,0.0017,5.5e-10,2.1e-07,"smoking","P1E5"
"3228","cg10479082",0.0063,0.001,5.5e-10,2.1e-07,"smoking","P1E5"
"3229","cg12166476",0.0137,0.0022,5.6e-10,2.1e-07,"smoking","P1E5"
"3230","cg21434376",0.0132,0.0021,5.6e-10,2.1e-07,"smoking","P1E5"
"3231","cg07450086",-0.0102,0.0017,5.6e-10,2.1e-07,"smoking","P1E5"
"3232","cg19827923",-0.0119,0.0019,5.6e-10,2.1e-07,"smoking","P1E5"
"3233","cg03646329",-0.0244,0.0039,5.6e-10,2.1e-07,"smoking","P1E5"
"3234","cg16269733",-0.0122,0.002,5.7e-10,2.1e-07,"smoking","P1E5"
"3235","cg06283478",0.0073,0.0012,5.8e-10,2.2e-07,"smoking","P1E5"
"3236","cg11419064",0.0042,7e-04,5.8e-10,2.2e-07,"smoking","P1E5"
"3237","cg12622182",-0.0097,0.0016,5.9e-10,2.2e-07,"smoking","P1E5"
"3238","cg14906103",0.0085,0.0014,5.9e-10,2.2e-07,"smoking","P1E5"
"3239","cg05135521",-0.0191,0.0031,5.9e-10,2.2e-07,"smoking","P1E5"
"3240","cg18369034",-0.0162,0.0026,6.1e-10,2.2e-07,"smoking","P1E5"
"3241","cg13257421",0.0076,0.0012,6.1e-10,2.2e-07,"smoking","P1E5"
"3242","cg24448421",0.0154,0.0025,6.1e-10,2.2e-07,"smoking","P1E5"
"3243","cg27583010",-0.0072,0.0012,6.1e-10,2.2e-07,"smoking","P1E5"
"3244","cg00808648",0.0065,0.0011,6.1e-10,2.3e-07,"smoking","P1E5"
"3245","cg14089503",-0.0121,0.002,6.1e-10,2.3e-07,"smoking","P1E5"
"3246","cg06688763",0.02,0.0032,6.2e-10,2.3e-07,"smoking","P1E5"
"3247","cg07751331",-0.0089,0.0014,6.2e-10,2.3e-07,"smoking","P1E5"
"3248","cg03836615",0.0052,8e-04,6.2e-10,2.3e-07,"smoking","P1E5"
"3249","cg27178191",0.0089,0.0014,6.2e-10,2.3e-07,"smoking","P1E5"
"3250","cg01423695",0.0064,0.001,6.3e-10,2.3e-07,"smoking","P1E5"
"3251","cg15234271",0.0046,7e-04,6.3e-10,2.3e-07,"smoking","P1E5"
"3252","cg07651540",0.0066,0.0011,6.3e-10,2.3e-07,"smoking","P1E5"
"3253","cg03832440",-0.0126,0.002,6.3e-10,2.3e-07,"smoking","P1E5"
"3254","cg18547299",0.0048,8e-04,6.3e-10,2.3e-07,"smoking","P1E5"
"3255","cg27262054",-0.0158,0.0026,6.4e-10,2.3e-07,"smoking","P1E5"
"3256","cg05228408",-0.0085,0.0014,6.4e-10,2.3e-07,"smoking","P1E5"
"3257","cg02782510",0.0058,9e-04,6.4e-10,2.3e-07,"smoking","P1E5"
"3258","cg14539422",0.0033,5e-04,6.4e-10,2.3e-07,"smoking","P1E5"
"3259","cg11134246",0.0058,9e-04,6.5e-10,2.4e-07,"smoking","P1E5"
"3260","cg17819085",-0.0095,0.0015,6.7e-10,2.4e-07,"smoking","P1E5"
"3261","cg26219182",-0.0038,6e-04,6.7e-10,2.4e-07,"smoking","P1E5"
"3262","cg11551464",0.0066,0.0011,6.7e-10,2.4e-07,"smoking","P1E5"
"3263","cg02385153",0.0107,0.0017,6.8e-10,2.5e-07,"smoking","P1E5"
"3264","cg13707943",-0.0066,0.0011,6.8e-10,2.5e-07,"smoking","P1E5"
"3265","cg04704634",0.0076,0.0012,6.9e-10,2.5e-07,"smoking","P1E5"
"3266","cg09762021",0.0075,0.0012,7.1e-10,2.5e-07,"smoking","P1E5"
"3267","cg10255761",-0.0145,0.0023,7.2e-10,2.6e-07,"smoking","P1E5"
"3268","cg18082788",-0.0167,0.0027,7.2e-10,2.6e-07,"smoking","P1E5"
"3269","cg19529732",0.0067,0.0011,7.2e-10,2.6e-07,"smoking","P1E5"
"3270","cg26640901",-0.0058,9e-04,7.2e-10,2.6e-07,"smoking","P1E5"
"3271","cg23672278",-0.009,0.0015,7.2e-10,2.6e-07,"smoking","P1E5"
"3272","cg21345826",0.005,8e-04,7.3e-10,2.6e-07,"smoking","P1E5"
"3273","cg04040925",0.0033,5e-04,7.3e-10,2.6e-07,"smoking","P1E5"
"3274","cg22875823",-0.0082,0.0013,7.5e-10,2.7e-07,"smoking","P1E5"
"3275","cg02104962",-0.0065,0.0011,7.5e-10,2.7e-07,"smoking","P1E5"
"3276","cg11827514",-0.0216,0.0035,7.5e-10,2.7e-07,"smoking","P1E5"
