"","CpG","Beta","SE","P","FDR","Trait","threshold"
"6302","cg12856965",-0.0151,0.0023,7.5e-11,3.6e-08,"smoking","F01"
"6303","cg03451670",0.0095,0.0015,7.5e-11,3.6e-08,"smoking","F01"
"6304","cg04332373",0.0115,0.0018,7.6e-11,3.7e-08,"smoking","F01"
"6305","cg13914531",-0.0054,8e-04,7.6e-11,3.7e-08,"smoking","F01"
"6306","cg05668853",-0.0127,0.0019,7.7e-11,3.7e-08,"smoking","F01"
"6307","cg07886712",-0.0045,7e-04,7.7e-11,3.7e-08,"smoking","F01"
"6308","cg19035792",0.0057,9e-04,7.9e-11,3.8e-08,"smoking","F01"
"6309","cg26803969",-0.0038,6e-04,8.1e-11,3.9e-08,"smoking","F01"
"6310","cg10672416",-0.0083,0.0013,8.2e-11,3.9e-08,"smoking","F01"
"6311","cg01952185",0.015,0.0023,8.3e-11,4e-08,"smoking","F01"
"6312","cg23401251",0.0118,0.0018,8.4e-11,4e-08,"smoking","F01"
"6313","cg17498867",-0.0054,8e-04,8.5e-11,4e-08,"smoking","F01"
"6314","cg18503679",-0.0146,0.0023,8.6e-11,4.1e-08,"smoking","F01"
"6315","cg26105649",-0.0052,8e-04,8.8e-11,4.1e-08,"smoking","F01"
"6316","cg17781958",0.0076,0.0012,9.1e-11,4.3e-08,"smoking","F01"
"6317","cg25341560",-0.0108,0.0017,9.1e-11,4.3e-08,"smoking","F01"
"6318","cg11386011",-0.0072,0.0011,9.2e-11,4.4e-08,"smoking","F01"
"6319","cg11014740",-0.0095,0.0015,9.4e-11,4.4e-08,"smoking","F01"
"6320","cg07516196",0.0109,0.0017,9.8e-11,4.6e-08,"smoking","F01"
"6321","cg11674448",0.0094,0.0014,9.8e-11,4.6e-08,"smoking","F01"
"6322","cg15013801",-0.0095,0.0015,1e-10,4.8e-08,"smoking","F01"
"6323","cg12364755",-0.0068,0.0011,1e-10,4.8e-08,"smoking","F01"
"6324","cg18617091",0.0098,0.0015,1e-10,4.8e-08,"smoking","F01"
"6325","cg21159068",0.0062,0.001,1e-10,4.8e-08,"smoking","F01"
"6326","cg04189326",0.0058,9e-04,1e-10,4.9e-08,"smoking","F01"
"6327","cg24771152",0.0068,0.001,1.1e-10,4.9e-08,"smoking","F01"
"6328","cg10493185",0.0041,6e-04,1.1e-10,4.9e-08,"smoking","F01"
"6329","cg20149625",-0.0042,6e-04,1.1e-10,4.9e-08,"smoking","F01"
"6330","cg24426691",-0.0059,9e-04,1.1e-10,5e-08,"smoking","F01"
"6331","cg23448998",0.0072,0.0011,1.1e-10,5e-08,"smoking","F01"
"6332","cg13976502",-0.0143,0.0022,1.1e-10,5e-08,"smoking","F01"
"6333","cg22582113",-0.0027,4e-04,1.1e-10,5e-08,"smoking","F01"
"6334","cg22957360",-0.0071,0.0011,1.1e-10,5.1e-08,"smoking","F01"
"6335","cg18961281",0.0043,7e-04,1.1e-10,5.1e-08,"smoking","F01"
"6336","cg25376310",-0.0063,0.001,1.1e-10,5.1e-08,"smoking","F01"
"6337","cg26908328",-0.0087,0.0014,1.1e-10,5.2e-08,"smoking","F01"
"6338","cg06800849",-0.006,9e-04,1.1e-10,5.2e-08,"smoking","F01"
"6339","cg00122944",-0.0036,6e-04,1.1e-10,5.2e-08,"smoking","F01"
"6340","cg25629790",0.005,8e-04,1.1e-10,5.2e-08,"smoking","F01"
"6341","cg27252776",-0.0116,0.0018,1.1e-10,5.2e-08,"smoking","F01"
"6342","cg24128066",-0.0073,0.0011,1.2e-10,5.3e-08,"smoking","F01"
"6343","cg01499816",-0.0033,5e-04,1.2e-10,5.3e-08,"smoking","F01"
"6344","cg10785537",0.0066,0.001,1.2e-10,5.3e-08,"smoking","F01"
"6345","cg13708645",-0.0139,0.0022,1.2e-10,5.4e-08,"smoking","F01"
"6346","cg00741986",-0.016,0.0025,1.2e-10,5.4e-08,"smoking","F01"
"6347","cg20146909",-0.0105,0.0016,1.2e-10,5.5e-08,"smoking","F01"
"6348","cg02375409",0.0105,0.0016,1.2e-10,5.5e-08,"smoking","F01"
"6349","cg10130088",0.0055,9e-04,1.2e-10,5.5e-08,"smoking","F01"
"6350","cg12593793",-0.0107,0.0017,1.2e-10,5.5e-08,"smoking","F01"
"6351","cg21121843",-0.0242,0.0038,1.2e-10,5.5e-08,"smoking","F01"
"6352","cg17082568",0.0104,0.0016,1.2e-10,5.6e-08,"smoking","F01"
"6353","cg11826961",-0.0105,0.0016,1.2e-10,5.6e-08,"smoking","F01"
"6354","cg06439889",0.005,8e-04,1.3e-10,5.8e-08,"smoking","F01"
"6355","cg17936236",-0.0083,0.0013,1.3e-10,5.9e-08,"smoking","F01"
"6356","cg24539517",-0.0098,0.0015,1.3e-10,5.9e-08,"smoking","F01"
"6357","cg14316231",-0.0169,0.0026,1.3e-10,5.9e-08,"smoking","F01"
"6358","cg07764473",0.0171,0.0027,1.3e-10,5.9e-08,"smoking","F01"
"6359","cg10010533",-0.0069,0.0011,1.3e-10,5.9e-08,"smoking","F01"
"6360","cg13594903",-0.0094,0.0015,1.4e-10,6.1e-08,"smoking","F01"
"6361","cg08267489",0.0024,4e-04,1.4e-10,6.2e-08,"smoking","F01"
"6362","cg13001289",-0.0044,7e-04,1.4e-10,6.2e-08,"smoking","F01"
"6363","cg23635560",-0.0099,0.0015,1.4e-10,6.2e-08,"smoking","F01"
"6364","cg26467528",-0.0118,0.0018,1.4e-10,6.2e-08,"smoking","F01"
"6365","cg15122985",-0.0068,0.0011,1.4e-10,6.2e-08,"smoking","F01"
"6366","cg07027613",-0.0079,0.0012,1.4e-10,6.3e-08,"smoking","F01"
"6367","cg15138339",-0.0075,0.0012,1.4e-10,6.3e-08,"smoking","F01"
"6368","cg17174275",-0.0053,8e-04,1.4e-10,6.4e-08,"smoking","F01"
"6369","cg21647257",0.0085,0.0013,1.4e-10,6.4e-08,"smoking","F01"
"6370","cg04337534",0.0051,8e-04,1.4e-10,6.4e-08,"smoking","F01"
"6371","cg09202659",-0.0064,0.001,1.5e-10,6.6e-08,"smoking","F01"
"6372","cg15787744",-0.008,0.0012,1.5e-10,6.6e-08,"smoking","F01"
"6373","cg06130714",0.0031,5e-04,1.5e-10,6.6e-08,"smoking","F01"
"6374","cg21393124",-0.0056,9e-04,1.5e-10,6.6e-08,"smoking","F01"
"6375","cg02740606",-0.0084,0.0013,1.5e-10,6.7e-08,"smoking","F01"
"6376","cg22950598",-0.0126,0.002,1.5e-10,6.7e-08,"smoking","F01"
"6377","cg18482892",-0.0105,0.0016,1.5e-10,6.7e-08,"smoking","F01"
"6378","cg04816394",0.0066,0.001,1.5e-10,6.7e-08,"smoking","F01"
"6379","cg18325841",0.0062,0.001,1.5e-10,6.7e-08,"smoking","F01"
"6380","cg17461214",0.0044,7e-04,1.5e-10,6.7e-08,"smoking","F01"
"6381","cg00583733",-0.0053,8e-04,1.5e-10,6.8e-08,"smoking","F01"
"6382","cg10843276",0.0144,0.0022,1.5e-10,6.8e-08,"smoking","F01"
"6383","cg11844970",-0.0054,8e-04,1.6e-10,6.9e-08,"smoking","F01"
"6384","cg18954479",0.0149,0.0023,1.6e-10,6.9e-08,"smoking","F01"
"6385","cg07520810",-0.0099,0.0015,1.6e-10,6.9e-08,"smoking","F01"
"6386","cg07308381",-0.0075,0.0012,1.6e-10,6.9e-08,"smoking","F01"
"6387","cg07819944",0.0054,8e-04,1.6e-10,7e-08,"smoking","F01"
"6388","cg07742396",-0.0138,0.0022,1.6e-10,7.1e-08,"smoking","F01"
"6389","cg16029875",0.0131,0.0021,1.6e-10,7.2e-08,"smoking","F01"
"6390","cg13758913",0.0059,9e-04,1.7e-10,7.3e-08,"smoking","F01"
"6391","cg23541422",-0.0065,0.001,1.7e-10,7.3e-08,"smoking","F01"
"6392","cg20366831",-0.0055,9e-04,1.7e-10,7.3e-08,"smoking","F01"
"6393","cg10750959",0.0067,0.001,1.7e-10,7.4e-08,"smoking","F01"
"6394","cg14989226",-0.0085,0.0013,1.8e-10,7.7e-08,"smoking","F01"
"6395","cg16646054",-0.0119,0.0019,1.8e-10,7.8e-08,"smoking","F01"
"6396","cg10696445",0.0046,7e-04,1.8e-10,7.8e-08,"smoking","F01"
"6397","cg01487468",-0.0089,0.0014,1.8e-10,7.8e-08,"smoking","F01"
"6398","cg13935577",-0.0088,0.0014,1.8e-10,7.9e-08,"smoking","F01"
"6399","cg16983588",0.0197,0.0031,1.8e-10,7.9e-08,"smoking","F01"
"6400","cg24257309",0.0085,0.0013,1.9e-10,8e-08,"smoking","F01"
"6401","cg17333973",-0.0045,7e-04,1.9e-10,8e-08,"smoking","F01"
"6402","cg13452162",-0.0077,0.0012,1.9e-10,8.2e-08,"smoking","F01"
"6403","cg17884674",0.008,0.0013,1.9e-10,8.2e-08,"smoking","F01"
"6404","cg06670463",-0.0083,0.0013,1.9e-10,8.3e-08,"smoking","F01"
"6405","cg24930218",-0.0054,9e-04,1.9e-10,8.3e-08,"smoking","F01"
"6406","cg12699156",-0.007,0.0011,2e-10,8.4e-08,"smoking","F01"
"6407","cg01185345",-0.0082,0.0013,2e-10,8.4e-08,"smoking","F01"
"6408","cg14194983",0.0097,0.0015,2e-10,8.5e-08,"smoking","F01"
"6409","cg11229399",0.0107,0.0017,2e-10,8.5e-08,"smoking","F01"
"6410","cg24869815",0.0049,8e-04,2e-10,8.6e-08,"smoking","F01"
"6411","cg15626881",0.0058,9e-04,2e-10,8.7e-08,"smoking","F01"
"6412","cg25611057",-0.007,0.0011,2.1e-10,8.7e-08,"smoking","F01"
"6413","cg03583050",0.0064,0.001,2.1e-10,8.9e-08,"smoking","F01"
"6414","cg11145461",-0.0105,0.0016,2.1e-10,8.9e-08,"smoking","F01"
"6415","cg17473673",0.0055,9e-04,2.1e-10,9.1e-08,"smoking","F01"
"6416","cg17397607",-0.0126,0.002,2.2e-10,9.2e-08,"smoking","F01"
"6417","cg01453052",-0.0109,0.0017,2.2e-10,9.3e-08,"smoking","F01"
"6418","cg01979157",-0.0081,0.0013,2.2e-10,9.3e-08,"smoking","F01"
"6419","cg10508317",-0.0086,0.0014,2.3e-10,9.5e-08,"smoking","F01"
"6420","cg20289911",-0.0047,7e-04,2.3e-10,9.7e-08,"smoking","F01"
"6421","cg09084200",-0.0114,0.0018,2.3e-10,9.8e-08,"smoking","F01"
"6422","cg07058086",0.0047,7e-04,2.3e-10,9.8e-08,"smoking","F01"
"6423","cg27312979",0.032,0.0051,2.4e-10,1e-07,"smoking","F01"
"6424","cg06151964",0.0083,0.0013,2.4e-10,1e-07,"smoking","F01"
"6425","cg20049273",0.0058,9e-04,2.4e-10,1e-07,"smoking","F01"
"6426","cg15482893",0.0122,0.0019,2.4e-10,1e-07,"smoking","F01"
"6427","cg02917867",-0.0103,0.0016,2.4e-10,1e-07,"smoking","F01"
"6428","cg21788755",-0.0057,9e-04,2.5e-10,1e-07,"smoking","F01"
"6429","cg03681335",0.0079,0.0013,2.5e-10,1e-07,"smoking","F01"
"6430","cg08810238",-0.0074,0.0012,2.5e-10,1e-07,"smoking","F01"
"6431","cg04117801",-0.0051,8e-04,2.5e-10,1e-07,"smoking","F01"
"6432","cg19426731",-0.0066,0.001,2.5e-10,1e-07,"smoking","F01"
"6433","cg22027399",0.0062,0.001,2.5e-10,1e-07,"smoking","F01"
"6434","cg10965178",-0.0108,0.0017,2.5e-10,1e-07,"smoking","F01"
"6435","cg01919377",-0.0053,8e-04,2.5e-10,1.1e-07,"smoking","F01"
"6436","cg20889322",-0.0136,0.0022,2.6e-10,1.1e-07,"smoking","F01"
"6437","cg04095045",0.0037,6e-04,2.6e-10,1.1e-07,"smoking","F01"
"6438","cg24271203",-0.0057,9e-04,2.6e-10,1.1e-07,"smoking","F01"
"6439","cg12147622",-0.0231,0.0037,2.7e-10,1.1e-07,"smoking","F01"
"6440","cg06604199",-0.0086,0.0014,2.7e-10,1.1e-07,"smoking","F01"
"6441","cg13672514",-0.0075,0.0012,2.7e-10,1.1e-07,"smoking","F01"
"6442","cg02161701",0.0078,0.0012,2.8e-10,1.1e-07,"smoking","F01"
"6443","cg22601421",0.0031,5e-04,2.8e-10,1.1e-07,"smoking","F01"
"6444","cg08397758",0.0065,0.001,2.8e-10,1.2e-07,"smoking","F01"
"6445","cg15012027",-0.0115,0.0018,2.8e-10,1.2e-07,"smoking","F01"
"6446","cg13582060",-0.0194,0.0031,2.9e-10,1.2e-07,"smoking","F01"
"6447","cg00665106",0.0071,0.0011,2.9e-10,1.2e-07,"smoking","F01"
"6448","cg09039672",0.0067,0.0011,3e-10,1.2e-07,"smoking","F01"
"6449","cg18777299",-0.0088,0.0014,3e-10,1.2e-07,"smoking","F01"
"6450","cg22377043",0.006,9e-04,3e-10,1.2e-07,"smoking","F01"
"6451","cg10959726",-0.0061,0.001,3.1e-10,1.2e-07,"smoking","F01"
"6452","cg09006159",0.0057,9e-04,3.1e-10,1.3e-07,"smoking","F01"
"6453","cg08640824",-0.0103,0.0016,3.1e-10,1.3e-07,"smoking","F01"
"6454","cg23565821",-0.0149,0.0024,3.2e-10,1.3e-07,"smoking","F01"
"6455","cg09265392",-0.0088,0.0014,3.2e-10,1.3e-07,"smoking","F01"
"6456","cg00867472",0.0082,0.0013,3.3e-10,1.3e-07,"smoking","F01"
"6457","cg25284397",0.0106,0.0017,3.3e-10,1.3e-07,"smoking","F01"
"6458","cg06264663",0.0059,9e-04,3.3e-10,1.3e-07,"smoking","F01"
"6459","cg26364091",-0.0097,0.0015,3.4e-10,1.4e-07,"smoking","F01"
"6460","cg08900404",-0.0131,0.0021,3.4e-10,1.4e-07,"smoking","F01"
"6461","cg01860774",-0.0068,0.0011,3.4e-10,1.4e-07,"smoking","F01"
"6462","cg07151117",-0.0085,0.0014,3.4e-10,1.4e-07,"smoking","F01"
"6463","cg24503881",-0.0047,7e-04,3.4e-10,1.4e-07,"smoking","F01"
"6464","cg14391923",-0.0237,0.0038,3.4e-10,1.4e-07,"smoking","F01"
"6465","cg15963913",0.0089,0.0014,3.5e-10,1.4e-07,"smoking","F01"
"6466","cg24033122",-0.0163,0.0026,3.5e-10,1.4e-07,"smoking","F01"
"6467","cg01481251",-0.0159,0.0025,3.5e-10,1.4e-07,"smoking","F01"
"6468","cg16936060",0.0165,0.0026,3.5e-10,1.4e-07,"smoking","F01"
"6469","cg00756943",-0.0132,0.0021,3.6e-10,1.4e-07,"smoking","F01"
"6470","cg16011250",0.0087,0.0014,3.6e-10,1.4e-07,"smoking","F01"
"6471","cg06672753",0.0042,7e-04,3.6e-10,1.4e-07,"smoking","F01"
"6472","cg26963277",-0.0241,0.0038,3.6e-10,1.4e-07,"smoking","F01"
"6473","cg11679455",-0.006,9e-04,3.7e-10,1.5e-07,"smoking","F01"
"6474","cg14295611",0.0075,0.0012,3.7e-10,1.5e-07,"smoking","F01"
"6475","cg13487983",0.0049,8e-04,3.8e-10,1.5e-07,"smoking","F01"
"6476","cg07202214",-0.0138,0.0022,3.8e-10,1.5e-07,"smoking","F01"
"6477","cg23762517",0.0312,0.005,3.8e-10,1.5e-07,"smoking","F01"
"6478","cg24296397",0.0089,0.0014,3.9e-10,1.5e-07,"smoking","F01"
"6479","cg03090969",-0.0087,0.0014,3.9e-10,1.5e-07,"smoking","F01"
"6480","cg04770751",-0.0184,0.0029,3.9e-10,1.5e-07,"smoking","F01"
"6481","cg00024404",-0.009,0.0014,3.9e-10,1.5e-07,"smoking","F01"
"6482","cg00931843",0.0199,0.0032,3.9e-10,1.5e-07,"smoking","F01"
"6483","cg21913886",-0.015,0.0024,3.9e-10,1.5e-07,"smoking","F01"
"6484","cg03044513",0.0064,0.001,4e-10,1.6e-07,"smoking","F01"
"6485","cg10180092",-0.0155,0.0025,4e-10,1.6e-07,"smoking","F01"
"6486","cg11572675",0.0055,9e-04,4e-10,1.6e-07,"smoking","F01"
"6487","cg18914023",0.0023,4e-04,4e-10,1.6e-07,"smoking","F01"
"6488","cg23046844",0.0037,6e-04,4e-10,1.6e-07,"smoking","F01"
"6489","cg09749364",-0.006,0.001,4e-10,1.6e-07,"smoking","F01"
"6490","cg15531369",-0.0063,0.001,4.1e-10,1.6e-07,"smoking","F01"
"6491","cg10970328",-0.007,0.0011,4.1e-10,1.6e-07,"smoking","F01"
"6492","cg06857018",0.0025,4e-04,4.1e-10,1.6e-07,"smoking","F01"
"6493","cg02286506",0.004,6e-04,4.1e-10,1.6e-07,"smoking","F01"
"6494","cg08479476",-0.0158,0.0025,4.1e-10,1.6e-07,"smoking","F01"
"6495","cg00007076",-0.0153,0.0024,4.2e-10,1.6e-07,"smoking","F01"
"6496","cg13142374",0.0046,7e-04,4.2e-10,1.6e-07,"smoking","F01"
"6497","cg01936839",-0.0096,0.0015,4.2e-10,1.6e-07,"smoking","F01"
"6498","cg07421287",-0.0115,0.0018,4.2e-10,1.6e-07,"smoking","F01"
"6499","cg10581837",0.0149,0.0024,4.3e-10,1.7e-07,"smoking","F01"
"6500","cg23003085",-0.0077,0.0012,4.3e-10,1.7e-07,"smoking","F01"
"6501","cg13024368",0.0041,7e-04,4.3e-10,1.7e-07,"smoking","F01"
"6502","cg16649298",0.014,0.0022,4.4e-10,1.7e-07,"smoking","F01"
"6503","cg03916421",-0.0103,0.0017,4.5e-10,1.7e-07,"smoking","F01"
"6504","cg16276850",0.0106,0.0017,4.5e-10,1.7e-07,"smoking","F01"
"6505","cg12649208",0.0043,7e-04,4.6e-10,1.8e-07,"smoking","F01"
"6506","cg05784862",-0.0093,0.0015,4.6e-10,1.8e-07,"smoking","F01"
"6507","cg19802390",0.0109,0.0017,4.6e-10,1.8e-07,"smoking","F01"
"6508","cg05914034",-0.0127,0.002,4.6e-10,1.8e-07,"smoking","F01"
"6509","cg21350153",0.0072,0.0012,4.6e-10,1.8e-07,"smoking","F01"
"6510","cg00423486",0.0055,9e-04,4.6e-10,1.8e-07,"smoking","F01"
"6511","cg00893603",-0.0245,0.0039,4.7e-10,1.8e-07,"smoking","F01"
"6512","cg16744741",0.0124,0.002,4.7e-10,1.8e-07,"smoking","F01"
"6513","cg02097120",-0.0071,0.0011,4.7e-10,1.8e-07,"smoking","F01"
"6514","cg06663317",-0.0059,0.001,4.7e-10,1.8e-07,"smoking","F01"
"6515","cg18419271",0.0091,0.0015,4.7e-10,1.8e-07,"smoking","F01"
"6516","cg20714487",0.0033,5e-04,4.7e-10,1.8e-07,"smoking","F01"
"6517","cg03109660",-0.0119,0.0019,4.8e-10,1.8e-07,"smoking","F01"
"6518","cg11327659",0.0091,0.0015,4.8e-10,1.8e-07,"smoking","F01"
"6519","cg14701962",0.0069,0.0011,4.8e-10,1.8e-07,"smoking","F01"
"6520","cg05222924",0.0066,0.0011,4.9e-10,1.8e-07,"smoking","F01"
"6521","cg18810691",-0.0066,0.0011,4.9e-10,1.9e-07,"smoking","F01"
"6522","cg03224013",-0.0128,0.0021,5e-10,1.9e-07,"smoking","F01"
"6523","cg24495528",-0.0069,0.0011,5e-10,1.9e-07,"smoking","F01"
"6524","cg13525276",0.023,0.0037,5.4e-10,2e-07,"smoking","F01"
"6525","cg15108490",0.0037,6e-04,5.4e-10,2e-07,"smoking","F01"
"6526","cg14852355",0.0061,0.001,5.5e-10,2e-07,"smoking","F01"
"6527","cg27000944",-0.0084,0.0013,5.5e-10,2.1e-07,"smoking","F01"
"6528","cg01651915",-0.0248,0.004,5.5e-10,2.1e-07,"smoking","F01"
"6529","cg16937168",-0.0107,0.0017,5.5e-10,2.1e-07,"smoking","F01"
"6530","cg10479082",0.0063,0.001,5.5e-10,2.1e-07,"smoking","F01"
"6531","cg12166476",0.0137,0.0022,5.6e-10,2.1e-07,"smoking","F01"
"6532","cg21434376",0.0132,0.0021,5.6e-10,2.1e-07,"smoking","F01"
"6533","cg07450086",-0.0102,0.0017,5.6e-10,2.1e-07,"smoking","F01"
"6534","cg19827923",-0.0119,0.0019,5.6e-10,2.1e-07,"smoking","F01"
"6535","cg03646329",-0.0244,0.0039,5.6e-10,2.1e-07,"smoking","F01"
"6536","cg16269733",-0.0122,0.002,5.7e-10,2.1e-07,"smoking","F01"
"6537","cg06283478",0.0073,0.0012,5.8e-10,2.2e-07,"smoking","F01"
"6538","cg11419064",0.0042,7e-04,5.8e-10,2.2e-07,"smoking","F01"
"6539","cg12622182",-0.0097,0.0016,5.9e-10,2.2e-07,"smoking","F01"
"6540","cg14906103",0.0085,0.0014,5.9e-10,2.2e-07,"smoking","F01"
"6541","cg05135521",-0.0191,0.0031,5.9e-10,2.2e-07,"smoking","F01"
"6542","cg18369034",-0.0162,0.0026,6.1e-10,2.2e-07,"smoking","F01"
"6543","cg13257421",0.0076,0.0012,6.1e-10,2.2e-07,"smoking","F01"
"6544","cg24448421",0.0154,0.0025,6.1e-10,2.2e-07,"smoking","F01"
"6545","cg27583010",-0.0072,0.0012,6.1e-10,2.2e-07,"smoking","F01"
"6546","cg00808648",0.0065,0.0011,6.1e-10,2.3e-07,"smoking","F01"
"6547","cg14089503",-0.0121,0.002,6.1e-10,2.3e-07,"smoking","F01"
"6548","cg06688763",0.02,0.0032,6.2e-10,2.3e-07,"smoking","F01"
"6549","cg07751331",-0.0089,0.0014,6.2e-10,2.3e-07,"smoking","F01"
"6550","cg03836615",0.0052,8e-04,6.2e-10,2.3e-07,"smoking","F01"
"6551","cg27178191",0.0089,0.0014,6.2e-10,2.3e-07,"smoking","F01"
"6552","cg01423695",0.0064,0.001,6.3e-10,2.3e-07,"smoking","F01"
"6553","cg15234271",0.0046,7e-04,6.3e-10,2.3e-07,"smoking","F01"
"6554","cg07651540",0.0066,0.0011,6.3e-10,2.3e-07,"smoking","F01"
"6555","cg03832440",-0.0126,0.002,6.3e-10,2.3e-07,"smoking","F01"
"6556","cg18547299",0.0048,8e-04,6.3e-10,2.3e-07,"smoking","F01"
"6557","cg27262054",-0.0158,0.0026,6.4e-10,2.3e-07,"smoking","F01"
"6558","cg05228408",-0.0085,0.0014,6.4e-10,2.3e-07,"smoking","F01"
"6559","cg02782510",0.0058,9e-04,6.4e-10,2.3e-07,"smoking","F01"
"6560","cg14539422",0.0033,5e-04,6.4e-10,2.3e-07,"smoking","F01"
"6561","cg11134246",0.0058,9e-04,6.5e-10,2.4e-07,"smoking","F01"
"6562","cg17819085",-0.0095,0.0015,6.7e-10,2.4e-07,"smoking","F01"
"6563","cg26219182",-0.0038,6e-04,6.7e-10,2.4e-07,"smoking","F01"
"6564","cg11551464",0.0066,0.0011,6.7e-10,2.4e-07,"smoking","F01"
"6565","cg02385153",0.0107,0.0017,6.8e-10,2.5e-07,"smoking","F01"
"6566","cg13707943",-0.0066,0.0011,6.8e-10,2.5e-07,"smoking","F01"
"6567","cg04704634",0.0076,0.0012,6.9e-10,2.5e-07,"smoking","F01"
"6568","cg09762021",0.0075,0.0012,7.1e-10,2.5e-07,"smoking","F01"
"6569","cg10255761",-0.0145,0.0023,7.2e-10,2.6e-07,"smoking","F01"
"6570","cg18082788",-0.0167,0.0027,7.2e-10,2.6e-07,"smoking","F01"
"6571","cg19529732",0.0067,0.0011,7.2e-10,2.6e-07,"smoking","F01"
"6572","cg26640901",-0.0058,9e-04,7.2e-10,2.6e-07,"smoking","F01"
"6573","cg23672278",-0.009,0.0015,7.2e-10,2.6e-07,"smoking","F01"
"6574","cg21345826",0.005,8e-04,7.3e-10,2.6e-07,"smoking","F01"
"6575","cg04040925",0.0033,5e-04,7.3e-10,2.6e-07,"smoking","F01"
"6576","cg22875823",-0.0082,0.0013,7.5e-10,2.7e-07,"smoking","F01"
"6577","cg02104962",-0.0065,0.0011,7.5e-10,2.7e-07,"smoking","F01"
"6578","cg11827514",-0.0216,0.0035,7.5e-10,2.7e-07,"smoking","F01"
"6579","cg18006990",-0.0069,0.0011,7.6e-10,2.7e-07,"smoking","F01"
"6580","cg08940075",0.0061,0.001,7.6e-10,2.7e-07,"smoking","F01"
"6581","cg14635659",-0.0039,6e-04,7.6e-10,2.7e-07,"smoking","F01"
"6582","cg20469837",0.0077,0.0013,7.7e-10,2.8e-07,"smoking","F01"
"6583","cg23094674",0.0042,7e-04,7.8e-10,2.8e-07,"smoking","F01"
"6584","cg00177243",0.017,0.0028,7.8e-10,2.8e-07,"smoking","F01"
"6585","cg25292882",-0.0135,0.0022,7.8e-10,2.8e-07,"smoking","F01"
"6586","cg00233633",0.0039,6e-04,7.8e-10,2.8e-07,"smoking","F01"
"6587","cg14330293",0.0064,0.001,7.8e-10,2.8e-07,"smoking","F01"
"6588","cg05802386",-0.0084,0.0014,7.9e-10,2.8e-07,"smoking","F01"
"6589","cg04701628",0.0051,8e-04,8e-10,2.8e-07,"smoking","F01"
"6590","cg03958308",-0.0171,0.0028,8e-10,2.8e-07,"smoking","F01"
"6591","cg01300096",-0.0074,0.0012,8e-10,2.8e-07,"smoking","F01"
"6592","cg20468883",-0.0076,0.0012,8.1e-10,2.9e-07,"smoking","F01"
"6593","cg18335991",-0.0135,0.0022,8.1e-10,2.9e-07,"smoking","F01"
"6594","cg08022502",-0.0068,0.0011,8.2e-10,2.9e-07,"smoking","F01"
"6595","cg06235438",-0.0144,0.0023,8.4e-10,2.9e-07,"smoking","F01"
"6596","cg01207684",-0.0246,0.004,8.4e-10,2.9e-07,"smoking","F01"
"6597","cg18028767",0.0069,0.0011,8.5e-10,3e-07,"smoking","F01"
"6598","cg00324097",-0.0121,0.002,8.6e-10,3e-07,"smoking","F01"
"6599","cg22014430",-0.0052,8e-04,8.7e-10,3e-07,"smoking","F01"
"6600","cg17975379",0.005,8e-04,8.7e-10,3.1e-07,"smoking","F01"
"6601","cg12336777",0.0068,0.0011,8.8e-10,3.1e-07,"smoking","F01"
"6602","cg22069247",0.0087,0.0014,8.8e-10,3.1e-07,"smoking","F01"
"6603","cg03446062",0.0073,0.0012,9.1e-10,3.2e-07,"smoking","F01"
"6604","cg10908953",-0.0061,0.001,9.3e-10,3.3e-07,"smoking","F01"
"6605","cg16702313",-0.0081,0.0013,9.5e-10,3.3e-07,"smoking","F01"
"6606","cg03234777",-0.0132,0.0022,9.5e-10,3.3e-07,"smoking","F01"
"6607","cg16340422",0.0182,0.003,9.6e-10,3.3e-07,"smoking","F01"
"6608","cg07986378",-0.029,0.0047,9.6e-10,3.3e-07,"smoking","F01"
"6609","cg09825327",-0.005,8e-04,9.7e-10,3.4e-07,"smoking","F01"
"6610","cg03970900",0.0133,0.0022,9.7e-10,3.4e-07,"smoking","F01"
"6611","cg15777760",-0.0115,0.0019,9.9e-10,3.4e-07,"smoking","F01"
"6612","cg04163119",-0.0043,7e-04,9.9e-10,3.4e-07,"smoking","F01"
"6613","cg26703507",-0.0202,0.0033,9.9e-10,3.4e-07,"smoking","F01"
"6614","cg27633342",0.0067,0.0011,1e-09,3.5e-07,"smoking","F01"
"6615","cg23387863",0.0086,0.0014,1e-09,3.5e-07,"smoking","F01"
"6616","cg06483559",-0.006,0.001,1e-09,3.5e-07,"smoking","F01"
"6617","cg03707168",-0.0285,0.0047,1e-09,3.5e-07,"smoking","F01"
"6618","cg18828619",-0.0066,0.0011,1e-09,3.5e-07,"smoking","F01"
"6619","cg11344533",-0.0098,0.0016,1e-09,3.5e-07,"smoking","F01"
"6620","cg26995224",-0.0212,0.0035,1e-09,3.5e-07,"smoking","F01"
"6621","cg09084391",-0.0114,0.0019,1e-09,3.6e-07,"smoking","F01"
"6622","cg11824827",0.0132,0.0022,1e-09,3.6e-07,"smoking","F01"
"6623","cg09762515",0.0154,0.0025,1e-09,3.6e-07,"smoking","F01"
"6624","cg05047401",0.0118,0.0019,1.1e-09,3.6e-07,"smoking","F01"
"6625","cg21268659",0.0051,8e-04,1.1e-09,3.6e-07,"smoking","F01"
"6626","cg06214925",-0.0059,0.001,1.1e-09,3.6e-07,"smoking","F01"
