"Pesticide","SES_Adjusted","Effect","P_value","N","N_SC","N_Time"
"Rimsulfuron","Household income",0.3329,"1.23e-02",1388,87,18
"Rimsulfuron","House value",0.3121,"2.81e-02",1388,87,18
"Rimsulfuron","Rent",0.3088,"3.10e-02",1388,87,18
"Rimsulfuron","150% poverty (%)",0.3276,"1.88e-02",1388,87,18
"Rimsulfuron","Unemployed (%)",0.4807,"1.59e-03",1388,87,18
"Rimsulfuron","Working class (%)",0.3067,"2.38e-02",1388,87,18
"Glufosinate","No Adjustment",0.3286,"3.51e-03",1195,80,17
"Glufosinate","Education index",0.2909,"1.41e-02",1195,80,17
"Glufosinate","Household income",0.3316,"4.59e-03",1195,80,17
"Glufosinate","House value",0.3648,"6.09e-03",1195,80,17
"Glufosinate","Rent",0.2959,"2.95e-02",1195,80,17
"Glufosinate","150% poverty (%)",0.317,"5.39e-03",1195,80,17
"Glufosinate","Unemployed (%)",0.3801,"5.18e-03",1195,80,17
"Glufosinate","Working class (%)",0.3437,"4.31e-03",1195,80,17
"Pyriproxyfen","No Adjustment",1.3411,"2.44e-02",161,12,15
"Pyriproxyfen","Education index",1.1567,"7.44e-02",161,12,15
"Pyriproxyfen","Household income",1.3704,"3.03e-02",161,12,15
"Pyriproxyfen","House value",1.3752,"2.36e-02",161,12,15
"Pyriproxyfen","Rent",1.3654,"3.08e-02",161,12,15
"Pyriproxyfen","150% poverty (%)",1.0384,"1.35e-01",161,12,15
"Pyriproxyfen","Unemployed (%)",1.1653,"7.29e-02",161,12,15
"Pyriproxyfen","Working class (%)",1.261,"4.40e-02",161,12,15
"Tebupirimphos","No Adjustment",0.6386,"7.30e-03",878,55,17
"Tebupirimphos","Education index",0.6808,"4.48e-03",878,55,17
"Tebupirimphos","Household income",0.6998,"4.44e-03",878,55,17
"Tebupirimphos","House value",0.6467,"6.67e-03",878,55,17
"Tebupirimphos","Rent",0.5721,"1.40e-02",878,55,17
"Tebupirimphos","150% poverty (%)",0.7404,"1.64e-02",878,55,17
"Tebupirimphos","Unemployed (%)",0.8876,"1.98e-03",878,55,17
"Tebupirimphos","Working class (%)",0.6359,"7.88e-03",878,55,17
"Aviglycine","No Adjustment",0.6766,"1.34e-02",281,20,16
"Aviglycine","Education index",0.6221,"2.63e-02",281,20,16
"Aviglycine","Household income",0.6034,"5.57e-02",281,20,16
"Aviglycine","House value",0.7043,"1.03e-02",281,20,16
"Aviglycine","Rent",0.7206,"1.08e-02",281,20,16
"Aviglycine","150% poverty (%)",0.4031,"2.13e-01",281,20,16
"Aviglycine","Unemployed (%)",0.4249,"1.44e-01",281,20,16
"Aviglycine","Working class (%)",0.5873,"4.92e-02",281,20,16
"Cyprodinil","No Adjustment",0.4951,"1.92e-02",303,22,15
"Cyprodinil","Education index",0.5,"1.82e-02",303,22,15
"Cyprodinil","Household income",0.498,"3.00e-02",303,22,15
"Cyprodinil","House value",0.5161,"1.55e-02",303,22,15
"Cyprodinil","Rent",0.558,"1.07e-02",303,22,15
"Cyprodinil","150% poverty (%)",0.3556,"1.34e-01",303,22,15
"Cyprodinil","Unemployed (%)",0.3011,"1.98e-01",303,22,15
"Cyprodinil","Working class (%)",0.4448,"4.71e-02",303,22,15
"Fluroxypyr","No Adjustment",-0.3886,"4.51e-02",340,28,15
"Fluroxypyr","Education index",-0.3939,"4.52e-02",340,28,15
"Fluroxypyr","Household income",-0.3969,"4.30e-02",340,28,15
"Fluroxypyr","House value",-0.3585,"6.52e-02",340,28,15
"Fluroxypyr","Rent",-0.3679,"5.36e-02",340,28,15
"Fluroxypyr","150% poverty (%)",-0.4125,"3.61e-02",340,28,15
"Fluroxypyr","Unemployed (%)",-0.3398,"9.79e-02",340,28,15
"Fluroxypyr","Working class (%)",-0.3821,"4.95e-02",340,28,15
"Diflufenzopyr","No Adjustment",0.5711,"1.66e-03",1084,84,14
"Diflufenzopyr","Education index",0.5396,"2.68e-03",1084,84,14
"Diflufenzopyr","Household income",0.5634,"2.08e-03",1084,84,14
"Diflufenzopyr","House value",0.5285,"6.94e-03",1084,84,14
"Diflufenzopyr","Rent",0.4854,"1.36e-02",1084,84,14
"Diflufenzopyr","150% poverty (%)",0.5606,"3.65e-03",1084,84,14
"Diflufenzopyr","Unemployed (%)",0.6419,"1.66e-03",1084,84,14
"Diflufenzopyr","Working class (%)",0.58,"2.02e-03",1084,84,14
"Trifloxystrobin","No Adjustment",0.5428,"1.14e-02",609,51,13
"Trifloxystrobin","Education index",0.5452,"1.00e-02",609,51,13
"Trifloxystrobin","Household income",0.5297,"1.37e-02",609,51,13
"Trifloxystrobin","House value",0.4918,"2.36e-02",609,51,13
"Trifloxystrobin","Rent",0.4622,"3.38e-02",609,51,13
"Trifloxystrobin","150% poverty (%)",0.5319,"1.39e-02",609,51,13
"Trifloxystrobin","Unemployed (%)",0.4387,"5.77e-02",609,51,13
"Trifloxystrobin","Working class (%)",0.5251,"1.45e-02",609,51,13
"Dimethenamidp","No Adjustment",0.2769,"3.93e-02",945,81,13
"Dimethenamidp","Education index",0.2216,"9.98e-02",945,81,13
"Dimethenamidp","Household income",0.265,"4.58e-02",945,81,13
"Dimethenamidp","House value",0.1897,"2.19e-01",945,81,13
"Dimethenamidp","Rent",0.1394,"3.65e-01",945,81,13
"Dimethenamidp","150% poverty (%)",0.372,"9.30e-03",945,81,13
"Dimethenamidp","Unemployed (%)",0.4131,"8.15e-03",945,81,13
"Dimethenamidp","Working class (%)",0.2523,"7.27e-02",945,81,13
"Flumioxazin","No Adjustment",1.2324,"1.99e-02",579,51,12
"Flumioxazin","Education index",1.355,"1.17e-02",579,51,12
"Flumioxazin","Household income",1.3136,"1.38e-02",579,51,12
"Flumioxazin","House value",1.2624,"1.76e-02",579,51,12
"Flumioxazin","Rent",1.1942,"2.28e-02",579,51,12
"Flumioxazin","150% poverty (%)",1.5387,"6.65e-03",579,51,12
"Flumioxazin","Unemployed (%)",1.3743,"1.13e-02",579,51,12
"Flumioxazin","Working class (%)",1.2662,"1.73e-02",579,51,12
