"SC","variable","Pesticide"
"Iowa-Iowa",2007,"ACETOCHLOR"
"Iowa-Iowa",2008,"ACETOCHLOR"
"Iowa-Iowa",2009,"ACETOCHLOR"
"Iowa-Iowa",2010,"ACETOCHLOR"
"Iowa-Iowa",2011,"ACETOCHLOR"
"Iowa-Iowa",2012,"ACETOCHLOR"
"Iowa-Jackson",1994,"ACETOCHLOR"
"Iowa-Jackson",1995,"ACETOCHLOR"
"Iowa-Jackson",1996,"ACETOCHLOR"
"Iowa-Jackson",1997,"ACETOCHLOR"
"Iowa-Jackson",1998,"ACETOCHLOR"
"Iowa-Jackson",1999,"ACETOCHLOR"
"Iowa-Jackson",2000,"ACETOCHLOR"
"Iowa-Jackson",2001,"ACETOCHLOR"
"Iowa-Jackson",2002,"ACETOCHLOR"
"Iowa-Jackson",2003,"ACETOCHLOR"
"Iowa-Jackson",2004,"ACETOCHLOR"
"Iowa-Jackson",2005,"ACETOCHLOR"
"Iowa-Jackson",2006,"ACETOCHLOR"
"Iowa-Jackson",2007,"ACETOCHLOR"
"Iowa-Jackson",2008,"ACETOCHLOR"
"Iowa-Jackson",2009,"ACETOCHLOR"
"Iowa-Jackson",2010,"ACETOCHLOR"
"Iowa-Jackson",2011,"ACETOCHLOR"
"Iowa-Jackson",2012,"ACETOCHLOR"
"Iowa-Jasper",1994,"ACETOCHLOR"
"Iowa-Jasper",1995,"ACETOCHLOR"
"Iowa-Jasper",1996,"ACETOCHLOR"
"Iowa-Jasper",1997,"ACETOCHLOR"
"Iowa-Jasper",1998,"ACETOCHLOR"
"Iowa-Jasper",1999,"ACETOCHLOR"
"Iowa-Jasper",2000,"ACETOCHLOR"
"Iowa-Jasper",2001,"ACETOCHLOR"
"Iowa-Jasper",2002,"ACETOCHLOR"
"Iowa-Jasper",2003,"ACETOCHLOR"
"Iowa-Jasper",2004,"ACETOCHLOR"
"Iowa-Jasper",2005,"ACETOCHLOR"
"Iowa-Jasper",2006,"ACETOCHLOR"
"Iowa-Jasper",2007,"ACETOCHLOR"
"Iowa-Jasper",2008,"ACETOCHLOR"
"Iowa-Jasper",2009,"ACETOCHLOR"
"Iowa-Jasper",2010,"ACETOCHLOR"
"Iowa-Jasper",2011,"ACETOCHLOR"
"Iowa-Jasper",2012,"ACETOCHLOR"
"Iowa-Jefferson",1994,"ACETOCHLOR"
"Iowa-Jefferson",1995,"ACETOCHLOR"
"Iowa-Jefferson",1996,"ACETOCHLOR"
"Iowa-Jefferson",1997,"ACETOCHLOR"
"Iowa-Jefferson",1998,"ACETOCHLOR"
"Iowa-Jefferson",1999,"ACETOCHLOR"
"Iowa-Jefferson",2000,"ACETOCHLOR"
"Iowa-Jefferson",2001,"ACETOCHLOR"
"Iowa-Jefferson",2002,"ACETOCHLOR"
"Iowa-Jefferson",2003,"ACETOCHLOR"
"Iowa-Jefferson",2004,"ACETOCHLOR"
"Iowa-Jefferson",2005,"ACETOCHLOR"
"Iowa-Jefferson",2006,"ACETOCHLOR"
"Iowa-Jefferson",2007,"ACETOCHLOR"
"Iowa-Jefferson",2008,"ACETOCHLOR"
"Iowa-Jefferson",2009,"ACETOCHLOR"
"Iowa-Jefferson",2010,"ACETOCHLOR"
"Iowa-Jefferson",2011,"ACETOCHLOR"
"Iowa-Jefferson",2012,"ACETOCHLOR"
"Iowa-Johnson",1994,"ACETOCHLOR"
"Iowa-Johnson",1995,"ACETOCHLOR"
"Iowa-Johnson",1996,"ACETOCHLOR"
"Iowa-Johnson",1997,"ACETOCHLOR"
"Iowa-Johnson",1998,"ACETOCHLOR"
"Iowa-Johnson",1999,"ACETOCHLOR"
"Iowa-Johnson",2000,"ACETOCHLOR"
"Iowa-Johnson",2001,"ACETOCHLOR"
"Iowa-Johnson",2002,"ACETOCHLOR"
"Iowa-Johnson",2003,"ACETOCHLOR"
"Iowa-Johnson",2004,"ACETOCHLOR"
"Iowa-Johnson",2005,"ACETOCHLOR"
"Iowa-Johnson",2006,"ACETOCHLOR"
"Iowa-Johnson",2007,"ACETOCHLOR"
"Iowa-Johnson",2008,"ACETOCHLOR"
"Iowa-Johnson",2009,"ACETOCHLOR"
"Iowa-Johnson",2010,"ACETOCHLOR"
"Iowa-Johnson",2011,"ACETOCHLOR"
"Iowa-Johnson",2012,"ACETOCHLOR"
"Iowa-Jones",1994,"ACETOCHLOR"
"Iowa-Jones",1995,"ACETOCHLOR"
"Iowa-Jones",1996,"ACETOCHLOR"
"Iowa-Jones",1997,"ACETOCHLOR"
"Iowa-Jones",1998,"ACETOCHLOR"
"Iowa-Jones",1999,"ACETOCHLOR"
"Iowa-Jones",2000,"ACETOCHLOR"
"Iowa-Jones",2001,"ACETOCHLOR"
"Iowa-Jones",2002,"ACETOCHLOR"
"Iowa-Jones",2003,"ACETOCHLOR"
"Iowa-Jones",2004,"ACETOCHLOR"
"Iowa-Jones",2005,"ACETOCHLOR"
"Iowa-Jones",2006,"ACETOCHLOR"
"Iowa-Jones",2007,"ACETOCHLOR"
"Iowa-Jones",2008,"ACETOCHLOR"
"Iowa-Jones",2009,"ACETOCHLOR"
"Iowa-Jones",2010,"ACETOCHLOR"
"Iowa-Jones",2011,"ACETOCHLOR"
"Iowa-Jones",2012,"ACETOCHLOR"
"Iowa-Kossuth",1994,"ACETOCHLOR"
"Iowa-Kossuth",1995,"ACETOCHLOR"
"Iowa-Kossuth",1996,"ACETOCHLOR"
"Iowa-Kossuth",1997,"ACETOCHLOR"
"Iowa-Kossuth",1998,"ACETOCHLOR"
"Iowa-Kossuth",1999,"ACETOCHLOR"
"Iowa-Kossuth",2000,"ACETOCHLOR"
"Iowa-Kossuth",2001,"ACETOCHLOR"
"Iowa-Kossuth",2002,"ACETOCHLOR"
"Iowa-Kossuth",2003,"ACETOCHLOR"
"Iowa-Kossuth",2004,"ACETOCHLOR"
"Iowa-Kossuth",2005,"ACETOCHLOR"
"Iowa-Kossuth",2006,"ACETOCHLOR"
"Iowa-Kossuth",2007,"ACETOCHLOR"
"Iowa-Kossuth",2008,"ACETOCHLOR"
"Iowa-Kossuth",2009,"ACETOCHLOR"
"Iowa-Kossuth",2010,"ACETOCHLOR"
"Iowa-Kossuth",2011,"ACETOCHLOR"
"Iowa-Kossuth",2012,"ACETOCHLOR"
"Iowa-Lee",1994,"ACETOCHLOR"
"Iowa-Lee",1995,"ACETOCHLOR"
"Iowa-Lee",1996,"ACETOCHLOR"
"Iowa-Lee",1997,"ACETOCHLOR"
"Iowa-Lee",1998,"ACETOCHLOR"
"Iowa-Lee",1999,"ACETOCHLOR"
"Iowa-Lee",2000,"ACETOCHLOR"
"Iowa-Lee",2001,"ACETOCHLOR"
"Iowa-Lee",2002,"ACETOCHLOR"
"Iowa-Lee",2003,"ACETOCHLOR"
"Iowa-Lee",2004,"ACETOCHLOR"
"Iowa-Lee",2005,"ACETOCHLOR"
"Iowa-Lee",2006,"ACETOCHLOR"
"Iowa-Lee",2007,"ACETOCHLOR"
"Iowa-Lee",2008,"ACETOCHLOR"
"Iowa-Lee",2009,"ACETOCHLOR"
"Iowa-Lee",2010,"ACETOCHLOR"
"Iowa-Lee",2011,"ACETOCHLOR"
"Iowa-Lee",2012,"ACETOCHLOR"
"Iowa-Linn",1994,"ACETOCHLOR"
"Iowa-Linn",1995,"ACETOCHLOR"
"Iowa-Linn",1996,"ACETOCHLOR"
"Iowa-Linn",1997,"ACETOCHLOR"
"Iowa-Linn",1998,"ACETOCHLOR"
"Iowa-Linn",1999,"ACETOCHLOR"
"Iowa-Linn",2000,"ACETOCHLOR"
"Iowa-Linn",2001,"ACETOCHLOR"
"Iowa-Linn",2002,"ACETOCHLOR"
"Iowa-Linn",2003,"ACETOCHLOR"
"Iowa-Linn",2004,"ACETOCHLOR"
"Iowa-Linn",2005,"ACETOCHLOR"
"Iowa-Linn",2006,"ACETOCHLOR"
"Iowa-Linn",2007,"ACETOCHLOR"
"Iowa-Linn",2008,"ACETOCHLOR"
"Iowa-Linn",2009,"ACETOCHLOR"
"Iowa-Linn",2010,"ACETOCHLOR"
"Iowa-Linn",2011,"ACETOCHLOR"
"Iowa-Linn",2012,"ACETOCHLOR"
"Iowa-Madison",1994,"ACETOCHLOR"
"Iowa-Madison",1995,"ACETOCHLOR"
"Iowa-Madison",1996,"ACETOCHLOR"
"Iowa-Madison",1997,"ACETOCHLOR"
"Iowa-Madison",1998,"ACETOCHLOR"
"Iowa-Madison",1999,"ACETOCHLOR"
"Iowa-Madison",2000,"ACETOCHLOR"
"Iowa-Madison",2001,"ACETOCHLOR"
"Iowa-Madison",2002,"ACETOCHLOR"
"Iowa-Madison",2003,"ACETOCHLOR"
"Iowa-Madison",2004,"ACETOCHLOR"
"Iowa-Madison",2005,"ACETOCHLOR"
"Iowa-Madison",2006,"ACETOCHLOR"
"Iowa-Madison",2007,"ACETOCHLOR"
"Iowa-Madison",2008,"ACETOCHLOR"
"Iowa-Madison",2009,"ACETOCHLOR"
"Iowa-Madison",2010,"ACETOCHLOR"
"Iowa-Madison",2011,"ACETOCHLOR"
"Iowa-Madison",2012,"ACETOCHLOR"
"Iowa-Mahaska",1994,"ACETOCHLOR"
"Iowa-Mahaska",1995,"ACETOCHLOR"
"Iowa-Mahaska",1996,"ACETOCHLOR"
"Iowa-Mahaska",1997,"ACETOCHLOR"
"Iowa-Mahaska",1998,"ACETOCHLOR"
"Iowa-Mahaska",1999,"ACETOCHLOR"
"Iowa-Mahaska",2000,"ACETOCHLOR"
"Iowa-Mahaska",2001,"ACETOCHLOR"
"Iowa-Mahaska",2002,"ACETOCHLOR"
"Iowa-Mahaska",2003,"ACETOCHLOR"
"Iowa-Mahaska",2004,"ACETOCHLOR"
"Iowa-Mahaska",2005,"ACETOCHLOR"
"Iowa-Mahaska",2006,"ACETOCHLOR"
"Iowa-Mahaska",2007,"ACETOCHLOR"
"Iowa-Mahaska",2008,"ACETOCHLOR"
"Iowa-Mahaska",2009,"ACETOCHLOR"
"Iowa-Mahaska",2010,"ACETOCHLOR"
"Iowa-Mahaska",2011,"ACETOCHLOR"
"Iowa-Mahaska",2012,"ACETOCHLOR"
"Iowa-Marion",1994,"ACETOCHLOR"
"Iowa-Marion",1995,"ACETOCHLOR"
"Iowa-Marion",1996,"ACETOCHLOR"
"Iowa-Marion",1997,"ACETOCHLOR"
"Iowa-Marion",1998,"ACETOCHLOR"
"Iowa-Marion",1999,"ACETOCHLOR"
"Iowa-Marion",2000,"ACETOCHLOR"
"Iowa-Marion",2001,"ACETOCHLOR"
"Iowa-Marion",2002,"ACETOCHLOR"
"Iowa-Marion",2003,"ACETOCHLOR"
"Iowa-Marion",2004,"ACETOCHLOR"
"Iowa-Marion",2005,"ACETOCHLOR"
"Iowa-Marion",2006,"ACETOCHLOR"
"Iowa-Marion",2007,"ACETOCHLOR"
"Iowa-Marion",2008,"ACETOCHLOR"
"Iowa-Marion",2009,"ACETOCHLOR"
"Iowa-Marion",2010,"ACETOCHLOR"
"Iowa-Marion",2011,"ACETOCHLOR"
"Iowa-Marion",2012,"ACETOCHLOR"
"Iowa-Marshall",1994,"ACETOCHLOR"
"Iowa-Marshall",1995,"ACETOCHLOR"
"Iowa-Marshall",1996,"ACETOCHLOR"
"Iowa-Marshall",1997,"ACETOCHLOR"
"Iowa-Marshall",1998,"ACETOCHLOR"
"Iowa-Marshall",1999,"ACETOCHLOR"
"Iowa-Marshall",2000,"ACETOCHLOR"
"Iowa-Marshall",2001,"ACETOCHLOR"
"Iowa-Marshall",2002,"ACETOCHLOR"
"Iowa-Marshall",2003,"ACETOCHLOR"
"Iowa-Marshall",2004,"ACETOCHLOR"
"Iowa-Marshall",2005,"ACETOCHLOR"
"Iowa-Marshall",2006,"ACETOCHLOR"
"Iowa-Marshall",2007,"ACETOCHLOR"
"Iowa-Marshall",2008,"ACETOCHLOR"
"Iowa-Marshall",2009,"ACETOCHLOR"
"Iowa-Marshall",2010,"ACETOCHLOR"
"Iowa-Marshall",2011,"ACETOCHLOR"
"Iowa-Marshall",2012,"ACETOCHLOR"
"Iowa-Mitchell",1994,"ACETOCHLOR"
"Iowa-Mitchell",1995,"ACETOCHLOR"
"Iowa-Mitchell",1996,"ACETOCHLOR"
"Iowa-Mitchell",1997,"ACETOCHLOR"
"Iowa-Mitchell",1998,"ACETOCHLOR"
"Iowa-Mitchell",1999,"ACETOCHLOR"
"Iowa-Mitchell",2000,"ACETOCHLOR"
"Iowa-Mitchell",2001,"ACETOCHLOR"
"Iowa-Mitchell",2002,"ACETOCHLOR"
"Iowa-Mitchell",2003,"ACETOCHLOR"
"Iowa-Mitchell",2004,"ACETOCHLOR"
"Iowa-Mitchell",2005,"ACETOCHLOR"
"Iowa-Mitchell",2006,"ACETOCHLOR"
"Iowa-Mitchell",2007,"ACETOCHLOR"
"Iowa-Mitchell",2008,"ACETOCHLOR"
"Iowa-Mitchell",2009,"ACETOCHLOR"
"Iowa-Mitchell",2010,"ACETOCHLOR"
"Iowa-Mitchell",2011,"ACETOCHLOR"
"Iowa-Mitchell",2012,"ACETOCHLOR"
"Iowa-Montgomery",1994,"ACETOCHLOR"
"Iowa-Montgomery",1995,"ACETOCHLOR"
"Iowa-Montgomery",1996,"ACETOCHLOR"
"Iowa-Montgomery",1997,"ACETOCHLOR"
"Iowa-Montgomery",1998,"ACETOCHLOR"
"Iowa-Montgomery",1999,"ACETOCHLOR"
"Iowa-Montgomery",2000,"ACETOCHLOR"
"Iowa-Montgomery",2001,"ACETOCHLOR"
"Iowa-Montgomery",2002,"ACETOCHLOR"
"Iowa-Montgomery",2003,"ACETOCHLOR"
"Iowa-Montgomery",2004,"ACETOCHLOR"
"Iowa-Montgomery",2005,"ACETOCHLOR"
"Iowa-Montgomery",2006,"ACETOCHLOR"
"Iowa-Montgomery",2007,"ACETOCHLOR"
"Iowa-Montgomery",2008,"ACETOCHLOR"
"Iowa-Montgomery",2009,"ACETOCHLOR"
"Iowa-Montgomery",2010,"ACETOCHLOR"
"Iowa-Montgomery",2011,"ACETOCHLOR"
"Iowa-Montgomery",2012,"ACETOCHLOR"
"Iowa-Muscatine",1994,"ACETOCHLOR"
"Iowa-Muscatine",1995,"ACETOCHLOR"
"Iowa-Muscatine",1996,"ACETOCHLOR"
"Iowa-Muscatine",1997,"ACETOCHLOR"
"Iowa-Muscatine",1998,"ACETOCHLOR"
"Iowa-Muscatine",1999,"ACETOCHLOR"
"Iowa-Muscatine",2000,"ACETOCHLOR"
"Iowa-Muscatine",2001,"ACETOCHLOR"
"Iowa-Muscatine",2002,"ACETOCHLOR"
"Iowa-Muscatine",2003,"ACETOCHLOR"
"Iowa-Muscatine",2004,"ACETOCHLOR"
"Iowa-Muscatine",2005,"ACETOCHLOR"
"Iowa-Muscatine",2006,"ACETOCHLOR"
"Iowa-Muscatine",2007,"ACETOCHLOR"
"Iowa-Muscatine",2008,"ACETOCHLOR"
"Iowa-Muscatine",2009,"ACETOCHLOR"
"Iowa-Muscatine",2010,"ACETOCHLOR"
"Iowa-Muscatine",2011,"ACETOCHLOR"
"Iowa-Muscatine",2012,"ACETOCHLOR"
"Iowa-Page",1994,"ACETOCHLOR"
"Iowa-Page",1995,"ACETOCHLOR"
"Iowa-Page",1996,"ACETOCHLOR"
"Iowa-Page",1997,"ACETOCHLOR"
"Iowa-Page",1998,"ACETOCHLOR"
"Iowa-Page",1999,"ACETOCHLOR"
"Iowa-Page",2000,"ACETOCHLOR"
"Iowa-Page",2001,"ACETOCHLOR"
"Iowa-Page",2002,"ACETOCHLOR"
"Iowa-Page",2003,"ACETOCHLOR"
"Iowa-Page",2004,"ACETOCHLOR"
"Iowa-Page",2005,"ACETOCHLOR"
"Iowa-Page",2006,"ACETOCHLOR"
"Iowa-Page",2007,"ACETOCHLOR"
"Iowa-Page",2008,"ACETOCHLOR"
"Iowa-Page",2009,"ACETOCHLOR"
"Iowa-Page",2010,"ACETOCHLOR"
"Iowa-Page",2011,"ACETOCHLOR"
"Iowa-Page",2012,"ACETOCHLOR"
"Iowa-Plymouth",1994,"ACETOCHLOR"
"Iowa-Plymouth",1995,"ACETOCHLOR"
"Iowa-Plymouth",1996,"ACETOCHLOR"
"Iowa-Plymouth",1997,"ACETOCHLOR"
"Iowa-Plymouth",1998,"ACETOCHLOR"
"Iowa-Plymouth",1999,"ACETOCHLOR"
"Iowa-Plymouth",2000,"ACETOCHLOR"
"Iowa-Plymouth",2001,"ACETOCHLOR"
"Iowa-Plymouth",2002,"ACETOCHLOR"
"Iowa-Plymouth",2003,"ACETOCHLOR"
"Iowa-Plymouth",2004,"ACETOCHLOR"
"Iowa-Plymouth",2005,"ACETOCHLOR"
"Iowa-Plymouth",2006,"ACETOCHLOR"
"Iowa-Plymouth",2007,"ACETOCHLOR"
"Iowa-Plymouth",2008,"ACETOCHLOR"
"Iowa-Plymouth",2009,"ACETOCHLOR"
"Iowa-Plymouth",2010,"ACETOCHLOR"
"Iowa-Plymouth",2011,"ACETOCHLOR"
"Iowa-Plymouth",2012,"ACETOCHLOR"
"Iowa-Polk",1994,"ACETOCHLOR"
"Iowa-Polk",1995,"ACETOCHLOR"
"Iowa-Polk",1996,"ACETOCHLOR"
"Iowa-Polk",1997,"ACETOCHLOR"
"Iowa-Polk",1998,"ACETOCHLOR"
"Iowa-Polk",1999,"ACETOCHLOR"
"Iowa-Polk",2000,"ACETOCHLOR"
"Iowa-Polk",2001,"ACETOCHLOR"
"Iowa-Polk",2002,"ACETOCHLOR"
"Iowa-Polk",2003,"ACETOCHLOR"
"Iowa-Polk",2004,"ACETOCHLOR"
"Iowa-Polk",2005,"ACETOCHLOR"
"Iowa-Polk",2006,"ACETOCHLOR"
"Iowa-Polk",2007,"ACETOCHLOR"
"Iowa-Polk",2008,"ACETOCHLOR"
"Iowa-Polk",2009,"ACETOCHLOR"
"Iowa-Polk",2010,"ACETOCHLOR"
"Iowa-Polk",2011,"ACETOCHLOR"
"Iowa-Polk",2012,"ACETOCHLOR"
"Iowa-Pottawattamie",1994,"ACETOCHLOR"
"Iowa-Pottawattamie",1995,"ACETOCHLOR"
"Iowa-Pottawattamie",1996,"ACETOCHLOR"
"Iowa-Pottawattamie",1997,"ACETOCHLOR"
"Iowa-Pottawattamie",1998,"ACETOCHLOR"
"Iowa-Pottawattamie",1999,"ACETOCHLOR"
"Iowa-Pottawattamie",2000,"ACETOCHLOR"
"Iowa-Pottawattamie",2001,"ACETOCHLOR"
"Iowa-Pottawattamie",2002,"ACETOCHLOR"
"Iowa-Pottawattamie",2003,"ACETOCHLOR"
"Iowa-Pottawattamie",2004,"ACETOCHLOR"
"Iowa-Pottawattamie",2005,"ACETOCHLOR"
"Iowa-Pottawattamie",2006,"ACETOCHLOR"
"Iowa-Pottawattamie",2007,"ACETOCHLOR"
"Iowa-Pottawattamie",2008,"ACETOCHLOR"
"Iowa-Pottawattamie",2009,"ACETOCHLOR"
"Iowa-Pottawattamie",2010,"ACETOCHLOR"
"Iowa-Pottawattamie",2011,"ACETOCHLOR"
"Iowa-Pottawattamie",2012,"ACETOCHLOR"
"Iowa-Poweshiek",1994,"ACETOCHLOR"
"Iowa-Poweshiek",1995,"ACETOCHLOR"
"Iowa-Poweshiek",1996,"ACETOCHLOR"
"Iowa-Poweshiek",1997,"ACETOCHLOR"
"Iowa-Poweshiek",1998,"ACETOCHLOR"
"Iowa-Poweshiek",1999,"ACETOCHLOR"
"Iowa-Poweshiek",2000,"ACETOCHLOR"
"Iowa-Poweshiek",2001,"ACETOCHLOR"
"Iowa-Poweshiek",2002,"ACETOCHLOR"
"Iowa-Poweshiek",2003,"ACETOCHLOR"
"Iowa-Poweshiek",2004,"ACETOCHLOR"
"Iowa-Poweshiek",2005,"ACETOCHLOR"
"Iowa-Poweshiek",2006,"ACETOCHLOR"
"Iowa-Poweshiek",2007,"ACETOCHLOR"
"Iowa-Poweshiek",2008,"ACETOCHLOR"
"Iowa-Poweshiek",2009,"ACETOCHLOR"
"Iowa-Poweshiek",2010,"ACETOCHLOR"
"Iowa-Poweshiek",2011,"ACETOCHLOR"
"Iowa-Poweshiek",2012,"ACETOCHLOR"
"Iowa-Scott",1994,"ACETOCHLOR"
"Iowa-Scott",1995,"ACETOCHLOR"
"Iowa-Scott",1996,"ACETOCHLOR"
"Iowa-Scott",1997,"ACETOCHLOR"
"Iowa-Scott",1998,"ACETOCHLOR"
"Iowa-Scott",1999,"ACETOCHLOR"
"Iowa-Scott",2000,"ACETOCHLOR"
"Iowa-Scott",2001,"ACETOCHLOR"
"Iowa-Scott",2002,"ACETOCHLOR"
"Iowa-Scott",2003,"ACETOCHLOR"
"Iowa-Scott",2004,"ACETOCHLOR"
"Iowa-Scott",2005,"ACETOCHLOR"
"Iowa-Scott",2006,"ACETOCHLOR"
"Iowa-Scott",2007,"ACETOCHLOR"
"Iowa-Scott",2008,"ACETOCHLOR"
"Iowa-Scott",2009,"ACETOCHLOR"
"Iowa-Scott",2010,"ACETOCHLOR"
"Iowa-Scott",2011,"ACETOCHLOR"
"Iowa-Scott",2012,"ACETOCHLOR"
"Iowa-Sioux",1994,"ACETOCHLOR"
"Iowa-Sioux",1995,"ACETOCHLOR"
"Iowa-Sioux",1996,"ACETOCHLOR"
"Iowa-Sioux",1997,"ACETOCHLOR"
"Iowa-Sioux",1998,"ACETOCHLOR"
"Iowa-Sioux",1999,"ACETOCHLOR"
"Iowa-Sioux",2000,"ACETOCHLOR"
"Iowa-Sioux",2001,"ACETOCHLOR"
"Iowa-Sioux",2002,"ACETOCHLOR"
"Iowa-Sioux",2003,"ACETOCHLOR"
"Iowa-Sioux",2004,"ACETOCHLOR"
"Iowa-Sioux",2005,"ACETOCHLOR"
"Iowa-Sioux",2006,"ACETOCHLOR"
"Iowa-Sioux",2007,"ACETOCHLOR"
"Iowa-Sioux",2008,"ACETOCHLOR"
"Iowa-Sioux",2009,"ACETOCHLOR"
"Iowa-Sioux",2010,"ACETOCHLOR"
"Iowa-Sioux",2011,"ACETOCHLOR"
"Iowa-Sioux",2012,"ACETOCHLOR"
"Iowa-Story",1994,"ACETOCHLOR"
"Iowa-Story",1995,"ACETOCHLOR"
"Iowa-Story",1996,"ACETOCHLOR"
"Iowa-Story",1997,"ACETOCHLOR"
"Iowa-Story",1998,"ACETOCHLOR"
"Iowa-Story",1999,"ACETOCHLOR"
"Iowa-Story",2000,"ACETOCHLOR"
"Iowa-Story",2001,"ACETOCHLOR"
"Iowa-Story",2002,"ACETOCHLOR"
"Iowa-Story",2003,"ACETOCHLOR"
"Iowa-Story",2004,"ACETOCHLOR"
"Iowa-Story",2005,"ACETOCHLOR"
"Iowa-Story",2006,"ACETOCHLOR"
"Iowa-Story",2007,"ACETOCHLOR"
"Iowa-Story",2008,"ACETOCHLOR"
"Iowa-Story",2009,"ACETOCHLOR"
"Iowa-Story",2010,"ACETOCHLOR"
"Iowa-Story",2011,"ACETOCHLOR"
"Iowa-Story",2012,"ACETOCHLOR"
"Iowa-Wapello",1994,"ACETOCHLOR"
"Iowa-Wapello",1995,"ACETOCHLOR"
"Iowa-Wapello",1996,"ACETOCHLOR"
"Iowa-Wapello",1997,"ACETOCHLOR"
"Iowa-Wapello",1998,"ACETOCHLOR"
"Iowa-Wapello",1999,"ACETOCHLOR"
"Iowa-Wapello",2000,"ACETOCHLOR"
"Iowa-Wapello",2001,"ACETOCHLOR"
"Iowa-Wapello",2002,"ACETOCHLOR"
"Iowa-Wapello",2003,"ACETOCHLOR"
"Iowa-Wapello",2004,"ACETOCHLOR"
"Iowa-Wapello",2005,"ACETOCHLOR"
"Iowa-Wapello",2006,"ACETOCHLOR"
"Iowa-Wapello",2007,"ACETOCHLOR"
"Iowa-Wapello",2008,"ACETOCHLOR"
"Iowa-Wapello",2009,"ACETOCHLOR"
"Iowa-Wapello",2010,"ACETOCHLOR"
"Iowa-Wapello",2011,"ACETOCHLOR"
"Iowa-Wapello",2012,"ACETOCHLOR"
"Iowa-Warren",1994,"ACETOCHLOR"
"Iowa-Warren",1995,"ACETOCHLOR"
"Iowa-Warren",1996,"ACETOCHLOR"
"Iowa-Warren",1997,"ACETOCHLOR"
"Iowa-Warren",1998,"ACETOCHLOR"
"Iowa-Warren",1999,"ACETOCHLOR"
"Iowa-Warren",2000,"ACETOCHLOR"
"Iowa-Warren",2001,"ACETOCHLOR"
"Iowa-Warren",2002,"ACETOCHLOR"
"Iowa-Warren",2003,"ACETOCHLOR"
"Iowa-Warren",2004,"ACETOCHLOR"
"Iowa-Warren",2005,"ACETOCHLOR"
"Iowa-Warren",2006,"ACETOCHLOR"
"Iowa-Warren",2007,"ACETOCHLOR"
"Iowa-Warren",2008,"ACETOCHLOR"
"Iowa-Warren",2009,"ACETOCHLOR"
"Iowa-Warren",2010,"ACETOCHLOR"
"Iowa-Warren",2011,"ACETOCHLOR"
"Iowa-Warren",2012,"ACETOCHLOR"
"Iowa-Webster",1994,"ACETOCHLOR"
"Iowa-Webster",1995,"ACETOCHLOR"
"Iowa-Webster",1996,"ACETOCHLOR"
"Iowa-Webster",1997,"ACETOCHLOR"
"Iowa-Webster",1998,"ACETOCHLOR"
"Iowa-Webster",1999,"ACETOCHLOR"
"Iowa-Webster",2000,"ACETOCHLOR"
"Iowa-Webster",2001,"ACETOCHLOR"
"Iowa-Webster",2002,"ACETOCHLOR"
"Iowa-Webster",2003,"ACETOCHLOR"
"Iowa-Webster",2004,"ACETOCHLOR"
"Iowa-Webster",2005,"ACETOCHLOR"
"Iowa-Webster",2006,"ACETOCHLOR"
"Iowa-Webster",2007,"ACETOCHLOR"
"Iowa-Webster",2008,"ACETOCHLOR"
"Iowa-Webster",2009,"ACETOCHLOR"
"Iowa-Webster",2010,"ACETOCHLOR"
"Iowa-Webster",2011,"ACETOCHLOR"
"Iowa-Webster",2012,"ACETOCHLOR"
"Iowa-Winneshiek",1994,"ACETOCHLOR"
"Iowa-Winneshiek",1995,"ACETOCHLOR"
"Iowa-Winneshiek",1996,"ACETOCHLOR"
"Iowa-Winneshiek",1997,"ACETOCHLOR"
"Iowa-Winneshiek",1998,"ACETOCHLOR"
"Iowa-Winneshiek",1999,"ACETOCHLOR"
"Iowa-Winneshiek",2000,"ACETOCHLOR"
"Iowa-Winneshiek",2001,"ACETOCHLOR"
"Iowa-Winneshiek",2002,"ACETOCHLOR"
"Iowa-Winneshiek",2003,"ACETOCHLOR"
"Iowa-Winneshiek",2004,"ACETOCHLOR"
"Iowa-Winneshiek",2005,"ACETOCHLOR"
"Iowa-Winneshiek",2006,"ACETOCHLOR"
"Iowa-Winneshiek",2007,"ACETOCHLOR"
"Iowa-Winneshiek",2008,"ACETOCHLOR"
"Iowa-Winneshiek",2009,"ACETOCHLOR"
"Iowa-Winneshiek",2010,"ACETOCHLOR"
"Iowa-Winneshiek",2011,"ACETOCHLOR"
"Iowa-Winneshiek",2012,"ACETOCHLOR"
"Iowa-Woodbury",1994,"ACETOCHLOR"
"Iowa-Woodbury",1995,"ACETOCHLOR"
"Iowa-Woodbury",1996,"ACETOCHLOR"
"Iowa-Woodbury",1997,"ACETOCHLOR"
"Iowa-Woodbury",1998,"ACETOCHLOR"
"Iowa-Woodbury",1999,"ACETOCHLOR"
"Iowa-Woodbury",2000,"ACETOCHLOR"
"Iowa-Woodbury",2001,"ACETOCHLOR"
"Iowa-Woodbury",2002,"ACETOCHLOR"
"Iowa-Woodbury",2003,"ACETOCHLOR"
"Iowa-Woodbury",2004,"ACETOCHLOR"
"Iowa-Woodbury",2005,"ACETOCHLOR"
"Iowa-Woodbury",2006,"ACETOCHLOR"
"Iowa-Woodbury",2007,"ACETOCHLOR"
"Iowa-Woodbury",2008,"ACETOCHLOR"
"Iowa-Woodbury",2009,"ACETOCHLOR"
"Iowa-Woodbury",2010,"ACETOCHLOR"
