"SC","variable","value","EPEST_HIGH_KG","Area","perArea","logArea"
"Iowa-Delaware",2002,63,43.9,577.68,0.0759936296911785,-2.5771057620618
"Iowa-Delaware",2003,84,64.7,577.68,0.111999723030051,-2.18925888063607
"Iowa-Delaware",2004,48,11.8,577.68,0.0204265337210913,-3.89092055067131
"Iowa-Delaware",2005,15,28.9,577.68,0.0500276969948761,-2.99517848702454
"Iowa-Delaware",2006,43,7.4,577.68,0.0128098601301759,-4.3575400819328
"Iowa-Delaware",2007,61,55.2,577.68,0.095554632322393,-2.34805712885988
"Iowa-Delaware",2008,92,3,577.68,0.00519318653926049,-5.26040779347482
"Iowa-Delaware",2009,2,94.8,577.68,0.164104694640631,-1.80725067288195
"Iowa-Delaware",2010,24,13.2,577.68,0.0228500207727462,-3.7788032525506
"Iowa-Delaware",2011,40,3.2,577.68,0.00553939897521119,-5.19586927233725
"Iowa-Delaware",2012,83,4.7,577.68,0.00813599224484144,-4.81145757342691
"Iowa-Des Moines",1992,8,42.2,416.13,0.101410616874534,-2.28857749040135
"Iowa-Des Moines",1993,93,52.8,416.13,0.126883425852498,-2.06448652073109
"Iowa-Des Moines",1994,74,111.9,416.13,0.268906351380578,-1.31339209612543
"Iowa-Des Moines",1995,83,111.6,416.13,0.268185422824598,-1.3160766614961
"Iowa-Des Moines",1996,93,35.7,416.13,0.0857904981616322,-2.45584702265771
"Iowa-Des Moines",1997,96,46.6,416.13,0.111984235695576,-2.18939717031171
"Iowa-Des Moines",1998,42,4,416.13,0.00961238074640136,-4.64470335032342
"Iowa-Des Moines",1999,12,76.5,416.13,0.183836781774926,-1.69370697061082
"Iowa-Des Moines",2000,53,1.3,416.13,0.00312402374258044,-5.76863344697582
"Iowa-Des Moines",2001,5,11,416.13,0.0264340470526038,-3.63310243864494
"Iowa-Des Moines",2002,14,12.6,416.13,0.0302789993511643,-3.49730089748588
"Iowa-Des Moines",2003,17,19.1,416.13,0.0458991180640665,-3.08130937639072
"Iowa-Des Moines",2004,31,95.2,416.13,0.228774661764352,-1.47501776964599
"Iowa-Des Moines",2005,24,1.5,416.13,0.00360464277990051,-5.62553260333514
"Iowa-Des Moines",2006,42,5.8,416.13,0.013937952082282,-4.27313979389093
"Iowa-Des Moines",2007,20,9.6,416.13,0.0230697137913633,-3.76923461296952
"Iowa-Des Moines",2008,4,12.3,416.13,0.0295580707951842,-3.52139844906494
"Iowa-Des Moines",2009,94,171.6,416.13,0.412371134020619,-0.885831524389445
"Iowa-Des Moines",2010,32,21.4,416.13,0.0514262369932473,-2.9676067894155
"Iowa-Des Moines",2011,54,50.7,416.13,0.121836925960637,-2.10507180084617
"Iowa-Des Moines",2012,93,15.7,416.13,0.0377285944296254,-3.27733699908904
"Iowa-Dubuque",1992,61,22.1,608.3,0.0363307578497452,-3.31509057280295
"Iowa-Dubuque",1993,43,42,608.3,0.0690448791714615,-2.67299856304329
"Iowa-Dubuque",1994,46,35,608.3,0.0575373993095512,-2.85532011983725
"Iowa-Dubuque",1995,64,87.4,608.3,0.143679105704422,-1.94017289866517
"Iowa-Dubuque",1996,96,46.2,608.3,0.0759493670886076,-2.57768838323897
"Iowa-Dubuque",1997,46,51.2,608.3,0.0841689955614006,-2.4749286492812
"Iowa-Dubuque",1998,20,20.3,608.3,0.0333716915995397,-3.40004729527892
"Iowa-Dubuque",1999,67,9.3,608.3,0.015288508959395,-4.18065378116745
"Iowa-Dubuque",2000,95,26.8,608.3,0.0440572086141706,-3.12226629380985
"Iowa-Dubuque",2001,74,14.5,608.3,0.0238369225710998,-3.73651953190013
"Iowa-Dubuque",2002,36,107,608.3,0.175900049317771,-1.73783934686475
"Iowa-Dubuque",2003,59,156.3,608.3,0.25694558605951,-1.35889094389923
"Iowa-Dubuque",2004,63,28.3,608.3,0.0465230971560086,-3.06780637667747
"Iowa-Dubuque",2005,62,68.4,608.3,0.112444517507809,-2.18529535669815
"Iowa-Dubuque",2006,52,17.4,608.3,0.0286043070853197,-3.55419797510618
"Iowa-Dubuque",2007,97,128.7,608.3,0.211573236889693,-1.55318406672458
"Iowa-Dubuque",2008,26,5.7,608.3,0.00937037645898406,-4.67020200648615
"Iowa-Dubuque",2009,47,174.7,608.3,0.287193818839388,-1.24759796418665
"Iowa-Dubuque",2010,92,23.6,608.3,0.0387966463915831,-3.2494214692951
"Iowa-Dubuque",2011,13,5.5,608.3,0.00904159132007233,-4.70592008908823
"Iowa-Dubuque",2012,21,7.8,608.3,0.0128226204175571,-4.35654444763112
"Iowa-Fayette",1992,29,15.1,730.81,0.020662005172343,-3.87945876422373
"Iowa-Fayette",1993,68,31.4,730.81,0.0429660240007663,-3.1473456151304
"Iowa-Fayette",1994,68,26.8,730.81,0.0366716383191254,-3.30575162052779
"Iowa-Fayette",1995,54,120.8,730.81,0.165296041378744,-1.80001722254389
"Iowa-Fayette",1996,89,32.4,730.81,0.0443343687141665,-3.11599508524632
"Iowa-Fayette",1997,81,46.1,730.81,0.0630806912877492,-2.763340558042
"Iowa-Fayette",1998,19,15.3,730.81,0.0209356741150231,-3.86630067964621
"Iowa-Fayette",1999,63,6.6,730.81,0.00903107510844132,-4.70708385901222
"Iowa-Fayette",2000,84,17.8,730.81,0.0243565358985236,-3.71495505074656
"Iowa-Fayette",2001,71,9,730.81,0.0123151024206018,-4.39692893070838
"Iowa-Fayette",2002,3,62.5,730.81,0.0855215445875125,-2.45898695130225
"Iowa-Fayette",2003,63,93,730.81,0.127256058346219,-2.06155401489135
"Iowa-Fayette",2004,19,17.1,730.81,0.0233986945991434,-3.75507504453599
"Iowa-Fayette",2005,99,42.1,730.81,0.0576073124341484,-2.85410576735627
"Iowa-Fayette",2006,29,10.9,730.81,0.0149149573760622,-4.20539071880951
"Iowa-Fayette",2007,73,81.4,730.81,0.111383259670776,-2.19477823503611
"Iowa-Fayette",2008,2,3.8,730.81,0.00519970991092076,-5.25915244131226
"Iowa-Fayette",2009,95,117.1,730.81,0.160233165939163,-1.83112523744094
"Iowa-Fayette",2010,77,15.9,730.81,0.0217566809430632,-3.82783439881842
"Iowa-Fayette",2011,28,3.7,730.81,0.00506287543958074,-5.28582068839443
"Iowa-Fayette",2012,41,5.2,730.81,0.00711539250968104,-4.94549488245722
"Iowa-Floyd",1992,4,30.3,500.57,0.0605309946660807,-2.80459973660029
"Iowa-Floyd",1993,89,53.3,500.57,0.106478614379607,-2.23981111794382
"Iowa-Floyd",1994,24,28.5,500.57,0.0569350939928482,-2.86584336184101
"Iowa-Floyd",1995,76,20,500.57,0.0399544519248057,-3.22001517556163
"Iowa-Floyd",1996,35,271.3,500.57,0.54198214035999,-0.612522229450731
"Iowa-Floyd",1997,99,12.5,500.57,0.0249715324530036,-3.69001880480736
"Iowa-Floyd",1998,64,5.1,500.57,0.0101883852408255,-4.58650690938533
"Iowa-Floyd",1999,43,2,500.57,0.00399544519248057,-5.52260026855567
"Iowa-Floyd",2000,58,22.1,500.57,0.0441496693769103,-3.12016984059191
"Iowa-Floyd",2002,9,21.7,500.57,0.0433505803384142,-3.1384351885692
"Iowa-Floyd",2003,40,91.7,500.57,0.183191162075234,-1.6972250698532
"Iowa-Floyd",2004,23,40.1,500.57,0.0801086761092355,-2.52437111480309
"Iowa-Floyd",2005,11,26,500.57,0.0519407875022474,-2.95765091109414
"Iowa-Floyd",2006,66,11.2,500.57,0.0223744930778912,-3.79983367081457
"Iowa-Floyd",2007,98,25.9,500.57,0.0517410152426234,-2.96150448041013
"Iowa-Floyd",2008,57,1.5,500.57,0.00299658389436043,-5.81028234100745
"Iowa-Floyd",2009,93,43.7,500.57,0.0873004774557005,-2.43839934701407
"Iowa-Floyd",2010,33,16,500.57,0.0319635615398446,-3.44315872687584
"Iowa-Floyd",2012,82,16.7,500.57,0.0333619673572128,-3.40033872969291
"Iowa-Hardin",1992,37,25.5,569.3,0.0447918496399087,-3.10572908379265
"Iowa-Hardin",1993,72,79.6,569.3,0.13982083260144,-1.9673934431067
"Iowa-Hardin",1994,48,134.9,569.3,0.236957667310733,-1.43987377274332
"Iowa-Hardin",1995,79,34.2,569.3,0.0600737748111716,-2.81218189188848
"Iowa-Hardin",1996,17,475.9,569.3,0.835938872299315,-0.179199787829971
"Iowa-Hardin",1997,90,43.1,569.3,0.0757070086070613,-2.58088453884733
"Iowa-Hardin",1998,41,19.3,569.3,0.0339012822764799,-3.3843024400462
"Iowa-Hardin",1999,48,45.5,569.3,0.0799227121025821,-2.52669521000013
"Iowa-Hardin",2000,17,12.8,569.3,0.022483751976111,-3.79496236503147
"Iowa-Hardin",2001,24,6.3,569.3,0.0110662216757421,-4.50385790255955
"Iowa-Hardin",2002,41,78.6,569.3,0.138064289478307,-1.98003583652187
"Iowa-Hardin",2003,24,189,569.3,0.331986650272264,-1.10266052089739
"Iowa-Hardin",2004,50,175,569.3,0.307395046548393,-1.17962156203352
"Iowa-Hardin",2005,57,8.4,569.3,0.0147549622343229,-4.21617583010777
"Iowa-Hardin",2006,61,37.6,569.3,0.0660460214298261,-2.71740348556119
"Iowa-Hardin",2007,69,33.7,569.3,0.0591955032496048,-2.82690969859872
"Iowa-Hardin",2008,18,9.1,569.3,0.0159845424205164,-4.13613312243423
"Iowa-Hardin",2009,50,325.2,569.3,0.57122782364307,-0.559967158283381
"Iowa-Hardin",2010,88,25.8,569.3,0.0453188125768488,-3.09403304402946
"Iowa-Hardin",2012,71,56,569.3,0.0983664148954857,-2.31905584522189
"Iowa-Harrison",1992,43,298.5,696.87,0.42834388049421,-0.847828946902194
"Iowa-Harrison",1995,2,166.7,696.87,0.239212478654555,-1.4304030899781
"Iowa-Harrison",1996,45,254,696.87,0.364486920085525,-1.00926461271632
"Iowa-Harrison",1997,22,119.4,696.87,0.171337552197684,-1.76411967877635
"Iowa-Harrison",1998,6,38.9,696.87,0.0558210283123108,-2.88560462911045
"Iowa-Harrison",1999,78,64.3,696.87,0.0922697203208633,-2.38303924849128
"Iowa-Harrison",2000,42,45.3,696.87,0.0650049507081665,-2.73329184724586
"Iowa-Harrison",2001,28,48.2,696.87,0.0691664155437887,-2.6712398586783
"Iowa-Harrison",2002,59,36.7,696.87,0.0526640549887354,-2.94382212467433
"Iowa-Harrison",2003,85,29.7,696.87,0.0426191398682681,-3.1554518339262
"Iowa-Harrison",2004,46,234.3,696.87,0.336217658960782,-1.0899965342211
"Iowa-Harrison",2005,56,28.5,696.87,0.0408971544190452,-3.19669479246025
"Iowa-Harrison",2007,11,48.1,696.87,0.0690229167563534,-2.67331670262314
"Iowa-Harrison",2010,75,91.1,696.87,0.130727395353509,-2.03464107546894
"Iowa-Harrison",2011,98,5.6,696.87,0.00803593209637378,-4.82383228199375
"Iowa-Harrison",2012,48,10,696.87,0.0143498787435246,-4.24401378674081
"Iowa-Jackson",1992,68,71.3,636.04,0.112099867932834,-2.18836512702395
"Iowa-Jackson",1993,16,180.4,636.04,0.28362996037985,-1.26008484681567
"Iowa-Jackson",1994,46,169.2,636.04,0.266021004968241,-1.32418000727207
"Iowa-Jackson",1995,71,153.7,636.04,0.241651468461103,-1.42025880389965
"Iowa-Jackson",1996,44,87.5,636.04,0.137569964153198,-1.98362266108063
"Iowa-Jackson",1997,76,64.9,636.04,0.102037607697629,-2.28241383073415
"Iowa-Jackson",1998,77,34.2,636.04,0.0537702031318785,-2.92303581037564
"Iowa-Jackson",1999,57,16.6,636.04,0.0260989874850638,-3.6458587590817
"Iowa-Jackson",2000,50,26.9,636.04,0.0422929375510974,-3.1631351678364
"Iowa-Jackson",2001,10,30.2,636.04,0.0474812904848752,-3.04741953006337
"Iowa-Jackson",2002,9,417.3,636.04,0.656090811898623,-0.421456066846689
"Iowa-Jackson",2003,38,523.8,636.04,0.823533111125086,-0.194151522370585
"Iowa-Jackson",2004,89,525.9,636.04,0.826834790264763,-0.190150373848898
"Iowa-Jackson",2005,43,12,636.04,0.01886673794101,-3.9703548046562
"Iowa-Jackson",2006,86,72.1,636.04,0.113357650462235,-2.17720741015329
"Iowa-Jackson",2007,11,83.6,636.04,0.13143827432237,-2.02921793435354
"Iowa-Jackson",2009,94,350.5,636.04,0.551065970693667,-0.595900747969552
"Iowa-Jackson",2011,90,386.8,636.04,0.608137852965222,-0.497353690865057
"Iowa-Jackson",2012,81,66.6,636.04,0.104710395572605,-2.25655687689786
"Iowa-Jasper",1992,28,81.3,730.42,0.111305824046439,-2.1954736946084
"Iowa-Jasper",1993,14,240.9,730.42,0.329810246159744,-1.10923780154134
"Iowa-Jasper",1994,40,386.7,730.42,0.529421428767011,-0.635970512548918
"Iowa-Jasper",1995,91,89.1,730.42,0.12198461159333,-2.1038603766854
"Iowa-Jasper",1997,54,108.3,730.42,0.1482708578626,-1.90871455715522
"Iowa-Jasper",1998,2,45.1,730.42,0.0617452972262534,-2.78473746465354
"Iowa-Jasper",1999,16,102.4,730.42,0.140193313436105,-1.96473299855676
"Iowa-Jasper",2000,19,27.9,730.42,0.0381972016100326,-3.26499302233485
"Iowa-Jasper",2001,54,13.4,730.42,0.0183456093754278,-3.99836500420531
"Iowa-Jasper",2002,47,162.4,730.42,0.222337833027573,-1.50355728343459
"Iowa-Jasper",2003,82,388.4,730.42,0.531748856822102,-0.631583974745
"Iowa-Jasper",2004,98,357.8,730.42,0.489855151830454,-0.71364554008755
"Iowa-Jasper",2005,8,17,730.42,0.0232742805509159,-3.76040636710595
"Iowa-Jasper",2006,44,76.1,730.42,0.104186632348512,-2.26157144629453
"Iowa-Jasper",2007,30,67.9,730.42,0.0929602146710112,-2.37558367659752
"Iowa-Jasper",2008,83,18.4,730.42,0.0251909860080502,-3.68126904654723
"Iowa-Jasper",2010,84,53.2,730.42,0.0728348073711016,-2.61956131481457
"Iowa-Jasper",2011,82,2.2,730.42,0.00301196571835382,-5.8051623507979
"Iowa-Jasper",2012,64,117.7,730.42,0.16114016593193,-1.82548069689594
"Iowa-Jefferson",1992,56,105.8,435.52,0.242927994121969,-1.4149902000389
"Iowa-Jefferson",1993,32,128.2,435.52,0.294360764144012,-1.22294917497653
"Iowa-Jefferson",1994,13,220.9,435.52,0.507209772226304,-0.67883060903703
"Iowa-Jefferson",1995,31,174.8,435.52,0.401359294636297,-0.912898256241666
"Iowa-Jefferson",1996,63,82.8,435.52,0.190117560617193,-1.66011265807189
"Iowa-Jefferson",1997,19,128.3,435.52,0.294590374724467,-1.22216944784151
"Iowa-Jefferson",1998,86,7.1,435.52,0.0163023512123439,-4.11644593541583
"Iowa-Jefferson",1999,88,146.3,435.52,0.335920279206466,-1.09088141143702
"Iowa-Jefferson",2000,2,2.7,435.52,0.00619948567229978,-5.08328894645282
"Iowa-Jefferson",2001,21,24.3,435.52,0.055795371050698,-2.8860643691166
"Iowa-Jefferson",2002,96,30,435.52,0.0688831741366642,-2.67534333780095
"Iowa-Jefferson",2003,98,41.6,435.52,0.0955180014695077,-2.34844055219588
"Iowa-Jefferson",2004,41,191.3,435.52,0.439245040411462,-0.822697843016894
"Iowa-Jefferson",2005,44,2.8,435.52,0.00642909625275533,-5.04692130228194
"Iowa-Jefferson",2006,88,10,435.52,0.0229610580455547,-3.77395562646906
"Iowa-Jefferson",2007,98,15.5,435.52,0.0355896399706098,-3.3357006955379
"Iowa-Jefferson",2008,78,23.7,435.52,0.0544177075679647,-2.91106567132202
"Iowa-Jefferson",2009,55,314.3,435.52,0.721666054371786,-0.326192775659579
"Iowa-Jefferson",2010,91,37.3,435.52,0.0856447465099192,-2.45754739281333
"Iowa-Jefferson",2011,36,83.4,435.52,0.191495224099927,-1.6528924100984
"Iowa-Jefferson",2012,36,24.3,435.52,0.055795371050698,-2.8860643691166
"Iowa-Johnson",1992,8,30,613,0.0489396411092985,-3.01716755427406
"Iowa-Johnson",1993,11,86.3,613,0.140783034257749,-1.96053533784683
"Iowa-Johnson",1994,84,91.3,613,0.148939641109299,-1.90421414833529
"Iowa-Johnson",1995,13,91.3,613,0.148939641109299,-1.90421414833529
"Iowa-Johnson",1996,16,30.1,613,0.0491027732463295,-3.01383976418138
"Iowa-Johnson",1997,96,36,613,0.0587275693311582,-2.8348459974801
"Iowa-Johnson",1998,52,9.8,613,0.0159869494290375,-4.13598255025969
"Iowa-Johnson",1999,62,4.7,613,0.00766721044045677,-4.8708024272202
"Iowa-Johnson",2000,64,7.6,613,0.0123980424143556,-4.39021668864393
"Iowa-Johnson",2001,2,8.4,613,0.0137030995106036,-4.29013323008694
"Iowa-Johnson",2002,91,115.7,613,0.188743882544861,-1.66736430173658
"Iowa-Johnson",2003,70,142,613,0.231647634584013,-1.46253787833495
"Iowa-Johnson",2004,62,139.3,613,0.227243066884176,-1.48173505515045
"Iowa-Johnson",2005,54,3.1,613,0.00505709624796085,-5.28696282444511
"Iowa-Johnson",2006,48,18.3,613,0.0298531810766721,-3.51146387608884
"Iowa-Johnson",2007,55,20.7,613,0.033768352365416,-3.38823123566489
"Iowa-Johnson",2008,19,433.5,613,0.707177814029364,-0.346473139715615
"Iowa-Johnson",2009,18,118.9,613,0.193964110929853,-1.64008213223948
"Iowa-Johnson",2010,82,220.2,613,0.359216965742251,-1.02382871164763
"Iowa-Johnson",2011,98,128.1,613,0.208972267536705,-1.56555372703352
"Iowa-Johnson",2012,35,21.7,613,0.0353996737357259,-3.3410526753898
"Iowa-Jones",1992,11,38.1,575.62,0.0661895000173726,-2.71523343862855
"Iowa-Jones",1993,6,96.3,575.62,0.16729787012265,-1.78797940195713
"Iowa-Jones",1994,11,97.8,575.62,0.169903755950106,-1.77252314372043
"Iowa-Jones",1995,61,109.8,575.62,0.190750842569751,-1.65678719168577
"Iowa-Jones",1996,1,43.3,575.62,0.075223237552552,-2.58729508575276
"Iowa-Jones",1997,2,43.4,575.62,0.0753969632743824,-2.58498827965485
"Iowa-Jones",1998,6,16.4,575.62,0.0284910183801814,-3.55816638593105
"Iowa-Jones",1999,32,7.5,575.62,0.0130294291372781,-4.34054470021894
"Iowa-Jones",2000,10,11.4,575.62,0.0198047322886627,-3.92183436536075
"Iowa-Jones",2001,50,12.1,575.62,0.0210208123414753,-3.86224226815851
"Iowa-Jones",2002,98,157.9,575.62,0.274312914770161,-1.29348579949961
"Iowa-Jones",2003,86,209.9,575.62,0.364650290121955,-1.00881649393462
"Iowa-Jones",2004,17,222.2,575.62,0.386018553907091,-0.951869843555677
"Iowa-Jones",2005,3,5.3,575.62,0.00920746325700983,-4.68774090020313
"Iowa-Jones",2006,13,33.5,575.62,0.0581981168131754,-2.84390228193018
"Iowa-Jones",2007,31,40.6,575.62,0.0705326430631319,-2.65167965415352
"Iowa-Jones",2009,2,168.7,575.62,0.293075292727841,-1.22732573120928
"Iowa-Jones",2010,90,327.9,575.62,0.569646641881797,-0.562739036910603
"Iowa-Jones",2011,51,201,575.62,0.349188700879052,-1.05214281270213
"Iowa-Jones",2012,35,36.1,575.62,0.0627149855807651,-2.76915485542237
"Iowa-Kossuth",1992,16,49.9,972.73,0.0512989215918086,-2.97008554862854
"Iowa-Kossuth",1993,89,80.4,972.73,0.082653973867363,-2.49309237520109
"Iowa-Kossuth",1994,96,36.8,972.73,0.0378316696308328,-3.27460870621113
"Iowa-Kossuth",1995,53,31.8,972.73,0.0326914971266436,-3.42064026159988
"Iowa-Kossuth",1996,72,488.2,972.73,0.501886443309037,-0.689381393427156
"Iowa-Kossuth",1997,19,17.7,972.73,0.0181962106648299,-4.00654191180623
"Iowa-Kossuth",1998,2,8.9,972.73,0.00914950705745685,-4.69405527464792
"Iowa-Kossuth",1999,40,3.2,972.73,0.00328971040268111,-5.71695574158033
"Iowa-Kossuth",2000,42,33.3,972.73,0.0342335488779003,-3.37454915439962
"Iowa-Kossuth",2002,49,28.6,972.73,0.0294017867239625,-3.52669983356021
"Iowa-Kossuth",2003,38,116.9,972.73,0.120177233147944,-2.118787682908
"Iowa-Kossuth",2004,98,49.5,972.73,0.0508877077914735,-2.97813388181137
"Iowa-Kossuth",2005,28,31.2,972.73,0.0320746764261409,-3.43968845657058
"Iowa-Kossuth",2006,89,13.1,972.73,0.0134672519609758,-4.30749432117891
"Iowa-Kossuth",2007,56,29.4,972.73,0.0302242143246327,-3.49911187704138
"Iowa-Kossuth",2008,38,2.2,972.73,0.00226167590184327,-6.09164919102174
"Iowa-Kossuth",2009,36,60.9,972.73,0.0626073011010249,-2.77087337667016
"Iowa-Kossuth",2010,71,21.5,972.73,0.0221027417680137,-3.8120536162524
"Iowa-Kossuth",2012,55,20.4,972.73,0.0209719038170921,-3.86457165053584
"Iowa-Lee",1992,79,91.7,517.55,0.177180948700609,-1.73058375956734
"Iowa-Lee",1993,37,116.1,517.55,0.224326152062603,-1.49465425012591
"Iowa-Lee",1994,72,224.3,517.55,0.433388078446527,-0.836121697303596
"Iowa-Lee",1995,25,176.6,517.55,0.34122307023476,-1.0752188506599
"Iowa-Lee",1996,33,71.5,517.55,0.138150903294368,-1.9794086891298
"Iowa-Lee",1997,89,98.2,517.55,0.189740121727369,-1.66209992346934
"Iowa-Lee",1998,76,9.1,517.55,0.017582842237465,-4.04083172530695
"Iowa-Lee",1999,20,182.8,517.55,0.353202589121824,-1.04071347980971
"Iowa-Lee",2000,89,3.4,517.55,0.00656941358322867,-5.02533070720764
"Iowa-Lee",2001,59,29,517.55,0.0560332335040093,-2.88181030884328
"Iowa-Lee",2002,91,34.9,517.55,0.0674330982513767,-2.69661930962138
"Iowa-Lee",2003,83,49.2,517.55,0.0950632789102502,-2.3532125153315
"Iowa-Lee",2004,92,230.7,517.55,0.445754033426722,-0.807987973650051
"Iowa-Lee",2005,59,3.4,517.55,0.00656941358322867,-5.02533070720764
"Iowa-Lee",2006,81,12.5,517.55,0.0241522558206937,-3.7233774945215
"Iowa-Lee",2007,42,19.7,517.55,0.0380639551734132,-3.26848750308582
"Iowa-Lee",2008,89,27.5,517.55,0.053134962805526,-2.93492013415723
"Iowa-Lee",2009,68,379.5,517.55,0.733262486716259,-0.310251541994075
"Iowa-Lee",2010,74,47,517.55,0.0908124818858081,-2.3989585371197
"Iowa-Lee",2011,71,110.7,517.55,0.213892377548063,-1.54228229911517
"Iowa-Lee",2012,5,34,517.55,0.0656941358322867,-2.7227456142136
"Iowa-Linn",1992,74,30,717.05,0.0418380866048393,-3.17394819151307
"Iowa-Linn",1993,37,75.7,717.05,0.105571438532878,-2.24836741273182
"Iowa-Linn",1994,51,79.8,717.05,0.111289310368872,-2.19562206871946
"Iowa-Linn",1995,97,120.4,717.05,0.167910187574088,-1.7843260403005
"Iowa-Linn",1996,42,34.1,717.05,0.047555958440834,-3.04584818888575
"Iowa-Linn",1997,40,40.1,717.05,0.0559235757618018,-2.8837692388627
"Iowa-Linn",1998,47,13.4,717.05,0.0186876786834949,-3.97989086621835
"Iowa-Linn",1999,97,6.5,717.05,0.00906491876438184,-4.70334339627363
"Iowa-Linn",2000,41,10.6,717.05,0.0147827906003765,-4.2142915720572
"Iowa-Linn",2001,15,12,717.05,0.0167352346419357,-4.09023892338722
"Iowa-Linn",2002,9,166.7,717.05,0.232480301234224,-1.45894978341847
"Iowa-Linn",2003,18,200.8,717.05,0.280036259675058,-1.27283618535765
"Iowa-Linn",2004,53,193.2,717.05,0.269437277735165,-1.3114196513968
"Iowa-Linn",2005,15,4.2,717.05,0.0058573321246775,-5.1400610478859
"Iowa-Linn",2006,58,24.3,717.05,0.0338888501499198,-3.38466922282872
"Iowa-Linn",2007,49,26.9,717.05,0.0375148176556725,-3.28301928656743
"Iowa-Linn",2008,69,415.9,717.05,0.580015340631755,-0.544700726426356
"Iowa-Linn",2009,7,119.5,717.05,0.166655044975943,-1.79182920180366
"Iowa-Linn",2010,71,232.6,717.05,0.324384631476187,-1.12582533309066
"Iowa-Linn",2011,91,142.6,717.05,0.198870371661669,-1.61510206519503
"Iowa-Linn",2012,97,25.6,717.05,0.0357018339027962,-3.3325532216897
"Iowa-Madison",1992,57,204.4,561,0.364349376114082,-1.00964204719315
"Iowa-Madison",1993,57,234.5,561,0.418003565062389,-0.872265317636361
"Iowa-Madison",1996,59,476.5,561,0.849376114081996,-0.16325318242844
"Iowa-Madison",1998,77,2.2,561,0.00392156862745098,-5.54126354515843
"Iowa-Madison",2000,37,139.5,561,0.248663101604278,-1.39165630426128
"Iowa-Madison",2001,43,307.8,561,0.548663101604278,-0.600270684117918
"Iowa-Madison",2002,69,353.4,561,0.629946524064171,-0.462120345637101
"Iowa-Madison",2004,24,300.8,561,0.536185383244207,-0.623275313447011
"Iowa-Madison",2005,47,18.3,561,0.032620320855615,-3.42281984567532
"Iowa-Madison",2007,24,56.6,561,0.100891265597148,-2.29371192031356
"Iowa-Madison",2010,47,122.7,561,0.218716577540107,-1.51997855380583
"Iowa-Madison",2012,61,88.2,561,0.157219251336898,-1.85011394250995
"Iowa-Mahaska",1992,33,112.7,570.85,0.197424892703863,-1.6223970570766
"Iowa-Mahaska",1993,85,132.6,570.85,0.232285188753613,-1.45978940037057
"Iowa-Mahaska",1994,58,236.2,570.85,0.413768941052816,-0.882447574359074
"Iowa-Mahaska",1995,30,199,570.85,0.348602960497504,-1.05382165339784
"Iowa-Mahaska",1996,51,82.2,570.85,0.14399579574319,-1.9379711760602
"Iowa-Mahaska",1997,90,130.3,570.85,0.228256109310677,-1.47728699399154
"Iowa-Mahaska",1998,17,8.6,570.85,0.0150652535692389,-4.19536427486287
"Iowa-Mahaska",1999,54,169.7,570.85,0.297275991941841,-1.21309430588216
"Iowa-Mahaska",2000,9,3,570.85,0.00525532101252518,-5.24851418945423
"Iowa-Mahaska",2001,48,25.5,570.85,0.044670228606464,-3.10844802595796
"Iowa-Mahaska",2002,10,30,570.85,0.0525532101252518,-2.94592909646018
"Iowa-Mahaska",2003,62,41.7,570.85,0.0730489620741,-2.61662534931758
"Iowa-Mahaska",2004,24,193,570.85,0.338092318472453,-1.08443628921745
"Iowa-Mahaska",2005,11,2.8,570.85,0.00490496627835684,-5.31750706094118
"Iowa-Mahaska",2006,46,10.2,570.85,0.0178680914425856,-4.02473875783211
"Iowa-Mahaska",2007,89,15.9,570.85,0.0278532013663835,-3.58080736889615
"Iowa-Mahaska",2008,70,25.5,570.85,0.044670228606464,-3.10844802595796
"Iowa-Mahaska",2009,72,346.5,570.85,0.606989576946658,-0.499243659492379
"Iowa-Mahaska",2010,37,42.1,570.85,0.0737496715424367,-2.607078737434
"Iowa-Mahaska",2011,73,96.9,570.85,0.169746868704563,-1.77344695922562
"Iowa-Mahaska",2012,39,29.1,570.85,0.0509766138214943,-2.97638830394489
"Iowa-Marion",1992,84,151.9,554.49,0.273945427329618,-1.29482636276097
"Iowa-Marion",1993,39,184.4,554.49,0.332557845948529,-1.10094146124021
"Iowa-Marion",1995,37,398.3,554.49,0.718317733412686,-0.3308432821751
"Iowa-Marion",1996,86,318.3,554.49,0.574041010658443,-0.555054438074651
"Iowa-Marion",2000,70,78.6,554.49,0.141751880106043,-1.95367707292754
"Iowa-Marion",2001,37,173.6,554.49,0.313080488376706,-1.16129497013645
"Iowa-Marion",2002,57,199.5,554.49,0.359790077368393,-1.02223453603278
"Iowa-Marion",2004,76,167.5,554.49,0.302079388266696,-1.19706542109758
"Iowa-Marion",2005,20,10.2,554.49,0.0183952821511659,-3.99566105207248
"Iowa-Marion",2006,5,355.8,554.49,0.641670724449494,-0.443679997130964
"Iowa-Marion",2007,21,31,554.49,0.055907230067269,-2.88406156787755
"Iowa-Marion",2010,46,75.5,554.49,0.136161157099316,-1.99391611610772
"Iowa-Marion",2012,96,54.6,554.49,0.0984688632797706,-2.31801488961184
"Iowa-Marshall",1992,50,33.5,572.5,0.0585152838427948,-2.83846729659737
"Iowa-Marshall",1993,52,101.2,572.5,0.176768558951965,-1.73291397857503
"Iowa-Marshall",1994,34,190.7,572.5,0.333100436681223,-1.09931122282202
