"Pesticide","Adjustment","Effect","P_value","N_obs","N_SC","Effect_Non_Adj","Pvalue_Non_Adj"
"Nicosulfuron","Carbaryl",0.4803,"6.48e-05",1692,95,0.4962,"5.73e-07"
"Nicosulfuron","Chlorothalonil",0.4719,"7.61e-06",1639,95,0.5176,"2.80e-07"
"Nicosulfuron","Clopyralid",0.4492,"9.51e-04",1598,95,0.4766,"4.31e-06"
"Nicosulfuron","Cyfluthrin",0.4181,"1.00e-02",1334,95,0.5126,"1.99e-05"
"Nicosulfuron","Cyhalothrinlambda",0.351,"1.99e-02",1422,95,0.4692,"3.79e-05"
"Nicosulfuron","Diazinon",0.4607,"3.20e-05",1408,95,0.5011,"2.87e-06"
"Nicosulfuron","Esfenvalerate",0.4309,"2.02e-03",1671,95,0.5035,"7.49e-07"
"Nicosulfuron","Glyphosate",0.3347,"5.47e-02",1693,95,0.4958,"5.65e-07"
"Nicosulfuron","Metolachlor",0.4838,"1.40e-02",1459,95,0.5449,"9.41e-07"
"Nicosulfuron","Pendimethalin",0.4602,"2.43e-03",1691,95,0.4959,"5.72e-07"
"Nicosulfuron","Picloram",0.4867,"1.12e-05",1535,94,0.5285,"7.41e-07"
"Nicosulfuron","Propargite",0.3776,"1.26e-03",797,87,0.3701,"1.72e-03"
"Nicosulfuron","Sethoxydim",0.5297,"7.64e-05",1656,95,0.4904,"1.40e-06"
"Nicosulfuron","Simazine",0.3672,"1.68e-02",1578,95,0.5371,"8.07e-07"
"Nicosulfuron","Terbufos",0.4971,"5.01e-03",1482,94,0.4853,"1.53e-05"
"Nicosulfuron","Dimethenamid",0.3169,"1.10e-01",1443,94,0.5019,"1.16e-05"
"Nicosulfuron","Fenbuconazole",0.3746,"2.51e-02",329,27,0.3708,"3.34e-02"
"Nicosulfuron","Acetochlor",0.4247,"6.41e-02",1382,94,0.4956,"4.34e-05"
"Nicosulfuron","Imidacloprid",0.4091,"1.41e-03",1225,95,0.4191,"5.26e-04"
"Nicosulfuron","Rimsulfuron",0.42,"9.39e-02",1308,95,0.4955,"6.60e-05"
"Nicosulfuron","Glufosinate",0.3474,"1.15e-01",1154,93,0.5221,"1.77e-04"
"Nicosulfuron","Tebupirimphos",0.274,"3.78e-01",1003,76,0.578,"2.10e-04"
"Nicosulfuron","Diflufenzopyr",0.3362,"2.10e-01",1028,94,0.4778,"1.16e-03"
"Nicosulfuron","Flumioxazin",0.1745,"6.47e-01",677,79,0.5166,"4.84e-02"
"Pendimethalin","Alachlor",0.1401,"3.74e-01",1897,100,0.2848,"4.47e-03"
"Pendimethalin","Atrazine",0.0032,"9.83e-01",1990,102,0.2732,"4.57e-03"
"Pendimethalin","Carbaryl",0.2225,"5.32e-02",2017,103,0.2679,"4.69e-03"
"Pendimethalin","Chlorothalonil",0.2169,"3.23e-02",1957,103,0.2739,"4.30e-03"
"Pendimethalin","Clopyralid",0.156,"1.76e-01",1916,103,0.2769,"5.26e-03"
"Pendimethalin","Cyfluthrin",0.1262,"4.11e-01",1592,102,0.2744,"2.11e-02"
"Pendimethalin","Cyhalothrinlambda",0.1902,"2.24e-01",1721,103,0.3019,"6.51e-03"
"Pendimethalin","Diazinon",0.2546,"1.58e-02",1725,103,0.2929,"4.24e-03"
"Pendimethalin","Esfenvalerate",0.1385,"2.74e-01",1966,102,0.2645,"6.38e-03"
"Pendimethalin","Glyphosate",-0.0205,"8.80e-01",2038,103,0.2727,"3.75e-03"
"Pendimethalin","Metolachlor",0.1914,"2.67e-01",1652,103,0.3871,"2.53e-04"
"Pendimethalin","Nicosulfuron",-0.0114,"9.45e-01",1702,100,0.3892,"3.18e-04"
"Pendimethalin","Picloram",0.2451,"2.18e-02",1812,101,0.273,"7.28e-03"
"Pendimethalin","Propargite",0.1285,"1.75e-01",1033,95,0.0638,"5.01e-01"
"Pendimethalin","Sethoxydim",0.1597,"2.39e-01",1910,103,0.2704,"5.45e-03"
"Pendimethalin","Simazine",0.0622,"6.71e-01",1761,103,0.3229,"1.32e-03"
"Pendimethalin","Terbufos",0.2544,"1.92e-01",1580,99,0.3764,"1.05e-03"
"Pendimethalin","Dimethenamid",0.0597,"7.60e-01",1541,99,0.3835,"7.87e-04"
"Pendimethalin","Fenbuconazole",-0.1293,"4.04e-01",414,29,0.026,"8.61e-01"
"Pendimethalin","Acetochlor",0.0168,"9.35e-01",1512,100,0.407,"1.05e-03"
"Pendimethalin","Imidacloprid",0.1607,"1.93e-01",1550,103,0.1699,"1.36e-01"
"Pendimethalin","Rimsulfuron",-0.0359,"8.53e-01",1446,102,0.3581,"9.32e-03"
"Pendimethalin","Glufosinate",0.0381,"8.56e-01",1313,101,0.4048,"3.47e-03"
"Pendimethalin","Tebupirimphos",-0.0789,"7.83e-01",1039,79,0.4782,"5.65e-03"
"Pendimethalin","Diflufenzopyr",0.0919,"6.88e-01",1225,99,0.3838,"1.35e-02"
"Pendimethalin","Flumioxazin",-0.8814,"1.47e-02",801,93,-0.0049,"9.85e-01"
"Picloram","Alachlor",0.4602,"6.24e-03",1725,92,0.5819,"2.31e-04"
"Picloram","Atrazine",0.3625,"2.49e-02",1830,94,0.5255,"5.68e-04"
"Picloram","Carbaryl",0.479,"2.59e-03",1827,94,0.5415,"3.94e-04"
"Picloram","Chlorothalonil",0.4861,"1.90e-03",1749,94,0.5326,"5.70e-04"
"Picloram","Clopyralid",0.4414,"6.09e-03",1767,94,0.5575,"3.41e-04"
"Picloram","Cyfluthrin",0.3118,"8.60e-02",1430,92,0.4488,"9.16e-03"
"Picloram","Cyhalothrinlambda",0.4196,"1.86e-02",1549,92,0.5205,"1.46e-03"
"Picloram","Diazinon",0.4885,"3.45e-03",1505,94,0.5096,"2.19e-03"
"Picloram","Esfenvalerate",0.4433,"6.35e-03",1750,92,0.5498,"4.41e-04"
"Picloram","Glyphosate",0.3379,"3.51e-02",1857,94,0.5303,"4.52e-04"
"Picloram","Metolachlor",0.5276,"6.01e-03",1516,93,0.7024,"1.46e-04"
"Picloram","Nicosulfuron",0.4753,"7.48e-03",1557,92,0.6629,"1.55e-04"
"Picloram","Pendimethalin",0.4294,"7.01e-03",1818,94,0.5307,"5.28e-04"
"Picloram","Propargite",0.4182,"1.02e-02",972,85,0.3033,"6.46e-02"
"Picloram","Sethoxydim",0.4462,"7.03e-03",1718,94,0.534,"9.84e-04"
"Picloram","Simazine",0.4363,"1.12e-02",1580,94,0.5804,"6.40e-04"
"Picloram","Terbufos",0.5368,"6.70e-03",1452,91,0.6475,"8.25e-04"
"Picloram","Dimethenamid",0.4848,"8.84e-03",1427,92,0.6487,"2.69e-04"
"Picloram","Fenbuconazole",-0.2269,"2.50e-01",255,21,-0.1323,"4.20e-01"
"Picloram","Acetochlor",0.6288,"2.17e-03",1381,93,0.7758,"1.15e-04"
"Picloram","Imidacloprid",0.5952,"6.91e-04",1320,93,0.5987,"3.24e-04"
"Picloram","Rimsulfuron",0.4498,"1.82e-02",1316,92,0.6034,"1.23e-03"
"Picloram","Glufosinate",0.2932,"1.46e-01",1154,92,0.5115,"8.77e-03"
"Picloram","Tebupirimphos",0.6334,"9.10e-03",1051,79,0.7256,"2.81e-03"
"Picloram","Diflufenzopyr",0.4908,"1.99e-02",1064,90,0.6296,"2.38e-03"
"Picloram","Flumioxazin",0.6107,"5.03e-02",685,83,0.8228,"4.96e-03"
"Propargite","Alachlor",-0.2535,"3.60e-02",698,42,-0.3019,"4.27e-03"
"Propargite","Atrazine",-0.2839,"1.36e-02",758,42,-0.326,"2.32e-03"
"Propargite","Carbaryl",-0.3146,"3.79e-03",755,42,-0.3176,"2.80e-03"
"Propargite","Chlorothalonil",-0.3218,"3.14e-03",748,42,-0.3189,"2.62e-03"
"Propargite","Clopyralid",-0.3333,"3.41e-03",749,42,-0.3466,"1.43e-03"
"Propargite","Cyfluthrin",-0.4546,"2.69e-04",596,42,-0.4295,"2.16e-04"
"Propargite","Cyhalothrinlambda",-0.36,"1.06e-02",653,42,-0.3279,"3.73e-03"
"Propargite","Diazinon",-0.3233,"4.13e-03",732,42,-0.2959,"6.42e-03"
"Propargite","Esfenvalerate",-0.2514,"2.73e-02",710,41,-0.2723,"1.35e-02"
"Propargite","Glyphosate",-0.2946,"1.24e-02",762,42,-0.3192,"2.67e-03"
"Propargite","Metolachlor",-0.0269,"8.56e-01",520,42,-0.1126,"3.83e-01"
"Propargite","Nicosulfuron",-0.1502,"2.39e-01",533,40,-0.1463,"2.22e-01"
"Propargite","Pendimethalin",-0.2758,"2.68e-02",757,42,-0.3039,"3.99e-03"
"Propargite","Picloram",-0.3726,"9.86e-04",739,42,-0.3431,"1.74e-03"
"Propargite","Sethoxydim",-0.2373,"4.44e-02",669,42,-0.2451,"2.93e-02"
"Propargite","Simazine",-0.266,"2.26e-02",533,42,-0.2474,"3.16e-02"
"Propargite","Terbufos",-0.1881,"3.00e-01",437,40,-0.1989,"1.80e-01"
"Propargite","Dimethenamid",-0.2417,"9.96e-02",464,40,-0.2626,"3.93e-02"
"Propargite","Fenbuconazole",-0.5976,"2.13e-04",197,19,-0.5357,"3.74e-04"
"Propargite","Acetochlor",-0.2275,"3.04e-01",437,40,-0.2627,"9.69e-02"
"Propargite","Imidacloprid",-0.3972,"1.15e-03",624,42,-0.3446,"2.81e-03"
"Propargite","Rimsulfuron",-0.2967,"2.76e-02",453,42,-0.3203,"1.35e-02"
"Propargite","Glufosinate",-0.4208,"2.40e-03",328,40,-0.4134,"2.05e-03"
"Propargite","Tebupirimphos",0.0575,"8.88e-01",247,28,-0.2573,"2.07e-01"
"Propargite","Diflufenzopyr",-0.3286,"5.36e-02",379,39,-0.3274,"2.86e-02"
"Propargite","Flumioxazin",-0.2349,"2.39e-01",114,32,-0.2225,"2.51e-01"
"Sethoxydim","Alachlor",0.1916,"1.67e-01",1824,100,0.35,"2.03e-03"
"Sethoxydim","Atrazine",0.1392,"3.04e-01",1892,101,0.3365,"2.05e-03"
"Sethoxydim","Carbaryl",0.2838,"1.39e-02",1907,102,0.3299,"2.22e-03"
"Sethoxydim","Chlorothalonil",0.3007,"5.82e-03",1844,102,0.3254,"2.60e-03"
"Sethoxydim","Clopyralid",0.2541,"4.24e-02",1814,102,0.339,"2.45e-03"
"Sethoxydim","Cyfluthrin",0.2068,"1.63e-01",1518,102,0.3002,"1.38e-02"
"Sethoxydim","Cyhalothrinlambda",0.2164,"1.26e-01",1619,102,0.3102,"8.71e-03"
"Sethoxydim","Diazinon",0.2768,"1.83e-02",1611,102,0.3006,"9.42e-03"
"Sethoxydim","Esfenvalerate",0.2136,"9.66e-02",1869,101,0.3341,"2.37e-03"
"Sethoxydim","Glyphosate",0.1208,"3.81e-01",1919,102,0.34,"1.58e-03"
"Sethoxydim","Metolachlor",0.3355,"4.30e-02",1603,102,0.525,"5.63e-05"
"Sethoxydim","Nicosulfuron",0.0746,"6.40e-01",1670,99,0.4156,"1.01e-03"
"Sethoxydim","Pendimethalin",0.1819,"2.14e-01",1909,102,0.3357,"1.86e-03"
"Sethoxydim","Picloram",0.3352,"5.37e-03",1717,101,0.3695,"1.74e-03"
"Sethoxydim","Propargite",0.3071,"8.18e-03",924,93,0.2527,"3.28e-02"
"Sethoxydim","Simazine",0.1141,"4.37e-01",1711,102,0.3621,"3.66e-03"
"Sethoxydim","Terbufos",0.2214,"1.67e-01",1559,99,0.4134,"1.15e-03"
"Sethoxydim","Dimethenamid",0.1135,"5.01e-01",1514,99,0.3885,"2.52e-03"
"Sethoxydim","Fenbuconazole",-0.0688,"6.57e-01",396,29,0.0109,"9.46e-01"
"Sethoxydim","Acetochlor",0.1598,"3.52e-01",1465,100,0.411,"2.09e-03"
"Sethoxydim","Imidacloprid",0.1792,"1.39e-01",1447,102,0.1841,"1.13e-01"
"Sethoxydim","Rimsulfuron",0.1319,"4.22e-01",1388,101,0.3302,"1.76e-02"
"Sethoxydim","Glufosinate",0.1159,"4.99e-01",1278,99,0.3871,"4.08e-03"
"Sethoxydim","Tebupirimphos",0.1264,"5.81e-01",1038,79,0.4447,"9.53e-03"
"Sethoxydim","Diflufenzopyr",0.1573,"3.66e-01",1140,97,0.3506,"1.61e-02"
"Sethoxydim","Flumioxazin",-0.2149,"4.03e-01",761,88,0.13,"5.60e-01"
"Simazine","Alachlor",0.3101,"4.64e-02",1661,92,0.4233,"2.19e-04"
"Simazine","Atrazine",0.1956,"2.37e-01",1701,94,0.405,"2.85e-04"
"Simazine","Carbaryl",0.4345,"1.52e-03",1742,95,0.3901,"3.26e-04"
"Simazine","Chlorothalonil",0.3907,"7.63e-04",1675,95,0.4145,"1.64e-04"
"Simazine","Clopyralid",0.2595,"4.77e-02",1617,95,0.3884,"8.36e-04"
"Simazine","Cyfluthrin",0.4002,"1.62e-02",1287,93,0.4545,"1.21e-03"
"Simazine","Cyhalothrinlambda",0.2991,"6.39e-02",1415,94,0.4076,"1.77e-03"
"Simazine","Diazinon",0.3594,"2.65e-03",1481,95,0.3999,"5.49e-04"
"Simazine","Esfenvalerate",0.2025,"2.08e-01",1704,94,0.4117,"3.42e-04"
"Simazine","Glyphosate",0.1312,"3.83e-01",1752,95,0.3969,"2.36e-04"
"Simazine","Metolachlor",0.2171,"2.53e-01",1455,94,0.3973,"1.15e-03"
"Simazine","Nicosulfuron",0.204,"2.28e-01",1562,93,0.4489,"2.29e-04"
"Simazine","Pendimethalin",0.3649,"2.26e-02",1732,95,0.4036,"2.40e-04"
"Simazine","Picloram",0.3917,"1.16e-03",1531,93,0.3979,"6.75e-04"
"Simazine","Propargite",0.2198,"3.69e-02",813,87,0.2311,"3.36e-02"
"Simazine","Sethoxydim",0.3693,"7.02e-03",1681,95,0.3842,"7.04e-04"
"Simazine","Terbufos",0.2885,"9.89e-02",1441,91,0.3847,"2.73e-03"
"Simazine","Dimethenamid",0.2084,"2.34e-01",1393,91,0.3725,"5.35e-03"
"Simazine","Fenbuconazole",0.2322,"2.17e-01",333,26,0.4151,"9.04e-03"
"Simazine","Acetochlor",0.2654,"1.90e-01",1316,91,0.4053,"3.67e-03"
"Simazine","Imidacloprid",0.3517,"1.51e-02",1242,94,0.3687,"5.28e-03"
"Simazine","Rimsulfuron",0.1936,"3.01e-01",1263,92,0.4694,"1.70e-03"
"Simazine","Glufosinate",0.2105,"3.48e-01",1145,93,0.4532,"5.45e-03"
"Simazine","Tebupirimphos",0.2732,"2.84e-01",889,71,0.4718,"1.30e-02"
"Simazine","Diflufenzopyr",0.3675,"9.59e-02",945,90,0.536,"2.37e-03"
"Simazine","Flumioxazin",0.1209,"7.52e-01",651,81,0.5068,"6.08e-02"
"Terbufos","Alachlor",-0.0151,"9.48e-01",1527,87,0.3445,"4.66e-03"
"Terbufos","Atrazine",-0.1094,"6.02e-01",1527,87,0.3445,"4.66e-03"
"Terbufos","Carbaryl",0.279,"5.27e-02",1525,87,0.338,"5.65e-03"
"Terbufos","Chlorothalonil",0.2948,"2.42e-02",1463,87,0.346,"4.90e-03"
"Terbufos","Clopyralid",0.1941,"2.19e-01",1441,87,0.3315,"9.81e-03"
"Terbufos","Cyfluthrin",0.1401,"4.84e-01",1215,86,0.3731,"1.61e-02"
"Terbufos","Cyhalothrinlambda",0.1485,"4.32e-01",1301,87,0.3442,"1.50e-02"
"Terbufos","Diazinon",0.2438,"8.58e-02",1244,87,0.3078,"2.51e-02"
"Terbufos","Esfenvalerate",0.1781,"2.90e-01",1503,87,0.3466,"6.02e-03"
"Terbufos","Glyphosate",-0.0133,"9.40e-01",1527,87,0.3445,"4.66e-03"
"Terbufos","Metolachlor",0.0519,"8.29e-01",1372,87,0.3455,"6.70e-03"
"Terbufos","Nicosulfuron",-0.1244,"5.67e-01",1463,87,0.3491,"8.34e-03"
"Terbufos","Pendimethalin",0.1133,"5.79e-01",1527,87,0.3445,"4.66e-03"
"Terbufos","Picloram",0.3219,"1.42e-02",1383,87,0.3483,"7.20e-03"
"Terbufos","Propargite",0.1508,"2.03e-01",616,75,0.1169,"3.27e-01"
"Terbufos","Sethoxydim",0.274,"8.73e-02",1499,87,0.3316,"7.70e-03"
"Terbufos","Simazine",0.1421,"4.45e-01",1414,87,0.3443,"1.09e-02"
"Terbufos","Dimethenamid",-0.1423,"5.34e-01",1392,87,0.3276,"1.28e-02"
"Terbufos","Fenbuconazole",0.101,"5.08e-01",222,16,0.1845,"2.19e-01"
"Terbufos","Acetochlor",-0.0732,"7.75e-01",1387,87,0.3435,"1.03e-02"
"Terbufos","Imidacloprid",0.3128,"5.04e-02",1080,87,0.3039,"5.08e-02"
"Terbufos","Rimsulfuron",-0.0824,"7.25e-01",1175,87,0.3256,"5.81e-02"
"Terbufos","Glufosinate",-0.1262,"6.12e-01",1089,85,0.3464,"4.68e-02"
"Terbufos","Tebupirimphos",-0.154,"5.89e-01",1046,79,0.3359,"5.66e-02"
"Terbufos","Diflufenzopyr",0.2157,"4.72e-01",959,87,0.5441,"7.32e-03"
"Terbufos","Flumioxazin",0.0097,"9.81e-01",642,67,0.4018,"2.36e-01"
"Dimethenamid","Alachlor",0.2259,"1.93e-01",1554,98,0.2781,"1.35e-03"
"Dimethenamid","Atrazine",-0.0244,"8.98e-01",1554,98,0.2781,"1.35e-03"
"Dimethenamid","Carbaryl",0.1998,"6.42e-02",1552,98,0.2716,"1.80e-03"
"Dimethenamid","Chlorothalonil",0.2509,"7.36e-03",1500,98,0.2965,"8.26e-04"
"Dimethenamid","Clopyralid",0.225,"7.86e-02",1490,98,0.2773,"2.00e-03"
"Dimethenamid","Cyfluthrin",0.1635,"2.65e-01",1271,98,0.302,"2.53e-03"
"Dimethenamid","Cyhalothrinlambda",0.1452,"3.25e-01",1411,98,0.264,"4.18e-03"
"Dimethenamid","Diazinon",0.2564,"8.95e-03",1276,98,0.2826,"2.96e-03"
"Dimethenamid","Esfenvalerate",0.1578,"1.92e-01",1534,98,0.2599,"3.35e-03"
"Dimethenamid","Glyphosate",0.0028,"9.87e-01",1554,98,0.2781,"1.35e-03"
"Dimethenamid","Metolachlor",0.4559,"2.91e-02",1325,98,0.3584,"5.98e-04"
"Dimethenamid","Nicosulfuron",0.0992,"5.69e-01",1470,98,0.3439,"3.46e-04"
"Dimethenamid","Pendimethalin",0.2288,"1.33e-01",1554,98,0.2781,"1.35e-03"
"Dimethenamid","Picloram",0.2131,"3.11e-02",1421,90,0.2803,"2.58e-03"
"Dimethenamid","Propargite",0.2081,"7.08e-02",684,90,0.1341,"2.48e-01"
"Dimethenamid","Sethoxydim",0.2779,"2.18e-02",1518,98,0.2777,"1.80e-03"
"Dimethenamid","Simazine",0.1526,"2.60e-01",1428,98,0.2811,"3.59e-03"
"Dimethenamid","Terbufos",0.3219,"7.55e-02",1422,98,0.2918,"2.94e-03"
"Dimethenamid","Fenbuconazole",-0.1526,"2.57e-01",329,27,-0.0922,"4.81e-01"
"Dimethenamid","Acetochlor",0.3604,"1.69e-01",1390,98,0.3374,"9.66e-04"
"Dimethenamid","Imidacloprid",0.2394,"2.55e-02",1227,98,0.2316,"2.03e-02"
"Dimethenamid","Rimsulfuron",0.1664,"3.70e-01",1244,98,0.3265,"2.89e-03"
"Dimethenamid","Glufosinate",-0.0179,"9.28e-01",1135,95,0.2888,"8.57e-03"
"Dimethenamid","Tebupirimphos",0.2046,"4.57e-01",1011,79,0.4228,"1.57e-03"
"Dimethenamid","Diflufenzopyr",0.096,"6.74e-01",994,95,0.3476,"8.28e-03"
"Dimethenamid","Flumioxazin",-0.3288,"3.59e-01",654,77,0.3293,"1.29e-01"
"Fenbuconazole","Alachlor",0.6056,"6.73e-03",345,24,0.5858,"7.68e-03"
"Fenbuconazole","Atrazine",0.5289,"1.33e-02",359,24,0.5241,"1.38e-02"
"Fenbuconazole","Carbaryl",0.4556,"3.49e-02",359,24,0.5241,"1.38e-02"
"Fenbuconazole","Chlorothalonil",0.5016,"1.81e-02",359,24,0.5241,"1.38e-02"
"Fenbuconazole","Clopyralid",0.5869,"1.08e-02",342,24,0.5597,"1.19e-02"
"Fenbuconazole","Cyfluthrin",0.6,"2.16e-02",286,24,0.5916,"1.88e-02"
"Fenbuconazole","Cyhalothrinlambda",0.5658,"1.96e-02",333,24,0.5327,"1.75e-02"
"Fenbuconazole","Diazinon",0.4839,"2.20e-02",330,24,0.4434,"3.83e-02"
"Fenbuconazole","Esfenvalerate",0.4981,"2.02e-02",358,24,0.5021,"1.76e-02"
"Fenbuconazole","Glyphosate",0.5363,"1.22e-02",359,24,0.5241,"1.38e-02"
"Fenbuconazole","Metolachlor",0.8374,"9.19e-04",250,24,0.7533,"2.01e-03"
"Fenbuconazole","Nicosulfuron",0.6654,"2.30e-03",296,24,0.6373,"4.36e-03"
"Fenbuconazole","Pendimethalin",0.5728,"1.06e-02",359,24,0.5241,"1.38e-02"
"Fenbuconazole","Picloram",0.4534,"1.93e-01",230,16,0.2826,"3.66e-01"
"Fenbuconazole","Propargite",0.3833,"1.55e-01",200,24,0.2143,"4.76e-01"
"Fenbuconazole","Sethoxydim",0.4535,"2.78e-02",343,24,0.4494,"2.83e-02"
"Fenbuconazole","Simazine",0.1844,"3.59e-01",289,24,0.3419,"8.65e-02"
"Fenbuconazole","Terbufos",0.1999,"4.17e-01",256,24,0.2006,"3.88e-01"
"Fenbuconazole","Dimethenamid",0.393,"8.97e-02",300,24,0.3575,"1.14e-01"
"Fenbuconazole","Acetochlor",0.8874,"9.14e-04",270,24,0.818,"1.35e-03"
"Fenbuconazole","Imidacloprid",0.5467,"1.32e-02",352,24,0.5224,"1.52e-02"
"Fenbuconazole","Rimsulfuron",0.6796,"4.70e-03",273,24,0.6876,"4.60e-03"
"Fenbuconazole","Glufosinate",0.6141,"1.57e-02",289,24,0.604,"1.61e-02"
"Fenbuconazole","Tebupirimphos",1.6445,"2.65e-02",84,7,1.4719,"2.72e-02"
"Fenbuconazole","Diflufenzopyr",0.7781,"1.23e-02",210,22,0.7839,"9.73e-03"
"Fenbuconazole","Flumioxazin",0.8561,"2.94e-02",115,24,0.8582,"2.05e-02"
"Acetochlor","Alachlor",0.2264,"2.47e-01",1436,87,0.3488,"3.99e-04"
"Acetochlor","Atrazine",-0.0436,"8.57e-01",1453,87,0.3572,"2.10e-04"
"Acetochlor","Carbaryl",0.2876,"1.22e-02",1451,87,0.3526,"2.60e-04"
"Acetochlor","Chlorothalonil",0.3251,"1.50e-03",1393,87,0.3629,"2.17e-04"
"Acetochlor","Clopyralid",0.2763,"5.16e-02",1418,87,0.3624,"2.13e-04"
"Acetochlor","Cyfluthrin",0.3178,"4.45e-02",1248,87,0.4058,"2.06e-04"
"Acetochlor","Cyhalothrinlambda",0.2746,"7.22e-02",1345,87,0.3646,"2.79e-04"
"Acetochlor","Diazinon",0.2992,"8.95e-03",1168,87,0.369,"6.88e-04"
"Acetochlor","Esfenvalerate",0.2565,"7.26e-02",1417,87,0.33,"9.43e-04"
"Acetochlor","Glyphosate",-0.0595,"7.79e-01",1453,87,0.3572,"2.10e-04"
"Acetochlor","Metolachlor",0.4975,"1.40e-02",1276,87,0.3884,"1.41e-04"
"Acetochlor","Nicosulfuron",0.0485,"8.43e-01",1350,87,0.3693,"8.14e-04"
"Acetochlor","Pendimethalin",0.3353,"3.04e-02",1453,87,0.3572,"2.10e-04"
"Acetochlor","Picloram",0.3754,"4.02e-04",1301,79,0.3897,"1.83e-04"
"Acetochlor","Propargite",0.1595,"1.65e-01",569,79,0.1001,"3.86e-01"
"Acetochlor","Sethoxydim",0.3563,"6.78e-03",1397,87,0.3484,"5.17e-04"
"Acetochlor","Simazine",0.2999,"9.15e-02",1285,87,0.3728,"1.53e-03"
"Acetochlor","Terbufos",0.3961,"4.90e-02",1357,87,0.3449,"1.14e-03"
"Acetochlor","Dimethenamid",-0.0467,"8.74e-01",1342,87,0.3561,"9.88e-04"
"Acetochlor","Fenbuconazole",-0.0278,"8.72e-01",260,16,0.0696,"7.19e-01"
"Acetochlor","Imidacloprid",0.3558,"1.94e-03",1138,87,0.3417,"1.01e-03"
"Acetochlor","Rimsulfuron",0.1102,"6.19e-01",1219,87,0.3895,"9.05e-04"
"Acetochlor","Glufosinate",0.069,"7.64e-01",1108,85,0.4118,"1.11e-03"
"Acetochlor","Tebupirimphos",0.374,"2.05e-01",1042,79,0.4463,"6.05e-04"
"Acetochlor","Diflufenzopyr",0.3951,"9.55e-02",1016,87,0.4528,"3.03e-04"
"Acetochlor","Flumioxazin",-0.0676,"8.53e-01",660,74,0.4823,"2.06e-02"
"Imidacloprid","Alachlor",0.2812,"6.26e-02",1205,78,0.4167,"3.91e-03"
"Imidacloprid","Atrazine",0.2122,"1.48e-01",1282,79,0.3895,"5.07e-03"
"Imidacloprid","Carbaryl",0.296,"4.01e-02",1311,80,0.3725,"6.11e-03"
"Imidacloprid","Chlorothalonil",0.3008,"5.25e-02",1314,80,0.3555,"8.79e-03"
"Imidacloprid","Clopyralid",0.3156,"2.49e-02",1277,80,0.3948,"4.60e-03"
"Imidacloprid","Cyfluthrin",0.2163,"1.61e-01",1134,79,0.3294,"2.50e-02"
"Imidacloprid","Cyhalothrinlambda",0.2499,"9.07e-02",1269,80,0.3796,"6.44e-03"
"Imidacloprid","Diazinon",0.1503,"3.19e-01",1213,80,0.2398,"9.33e-02"
"Imidacloprid","Esfenvalerate",0.1312,"4.08e-01",1282,80,0.3513,"1.11e-02"
"Imidacloprid","Glyphosate",0.1749,"2.17e-01",1325,80,0.3674,"6.52e-03"
"Imidacloprid","Metolachlor",0.3358,"4.19e-02",974,80,0.4752,"2.89e-03"
"Imidacloprid","Nicosulfuron",0.2959,"5.98e-02",1029,78,0.4348,"5.61e-03"
"Imidacloprid","Pendimethalin",0.323,"1.87e-02",1319,80,0.371,"6.11e-03"
"Imidacloprid","Picloram",0.3423,"2.65e-02",1119,70,0.4086,"7.29e-03"
"Imidacloprid","Propargite",0.2672,"1.23e-01",730,73,0.042,"7.99e-01"
"Imidacloprid","Sethoxydim",0.3189,"2.66e-02",1217,80,0.3713,"9.78e-03"
"Imidacloprid","Simazine",0.3051,"4.50e-02",1072,80,0.45,"2.50e-03"
"Imidacloprid","Terbufos",0.3535,"4.50e-02",921,77,0.4458,"1.09e-02"
"Imidacloprid","Dimethenamid",0.2574,"1.22e-01",1001,77,0.3848,"1.90e-02"
"Imidacloprid","Fenbuconazole",-0.0963,"5.98e-01",397,28,0.0535,"7.64e-01"
"Imidacloprid","Acetochlor",0.3811,"1.93e-02",1005,77,0.5136,"1.38e-03"
"Imidacloprid","Rimsulfuron",0.2882,"7.19e-02",1036,79,0.4232,"6.58e-03"
"Imidacloprid","Glufosinate",0.2185,"2.39e-01",913,78,0.4565,"9.04e-03"
"Imidacloprid","Tebupirimphos",0.4197,"8.54e-02",643,57,0.5741,"1.69e-02"
"Imidacloprid","Diflufenzopyr",0.3882,"3.13e-02",839,76,0.5039,"3.93e-03"
"Imidacloprid","Flumioxazin",-0.1972,"4.99e-01",472,71,0.4164,"8.92e-02"
"Rimsulfuron","Alachlor",0.2165,"2.49e-01",1327,86,0.3452,"1.20e-02"
"Rimsulfuron","Atrazine",-0.0152,"9.44e-01",1378,87,0.3317,"1.21e-02"
"Rimsulfuron","Carbaryl",0.2473,"9.04e-02",1388,87,0.3305,"1.21e-02"
"Rimsulfuron","Chlorothalonil",0.2884,"3.34e-02",1336,87,0.3465,"1.05e-02"
"Rimsulfuron","Clopyralid",0.2937,"1.23e-01",1377,87,0.3336,"1.17e-02"
"Rimsulfuron","Cyfluthrin",0.1835,"3.26e-01",1286,87,0.3146,"2.21e-02"
"Rimsulfuron","Cyhalothrinlambda",0.1984,"2.31e-01",1387,87,0.33,"1.23e-02"
"Rimsulfuron","Diazinon",0.2688,"7.07e-02",1110,87,0.312,"3.28e-02"
